model,task_name,distraction_type,suggested_failure_mode,count
gemma,multi_label_classification,instruction_in_the_middle,invalid_label,59
gemma,multi_label_classification,length_stress,invalid_label,58
gemma,rule_based_transformation,irrelevant_suffix,transformation_mismatch,58
gemma,rule_based_transformation,instruction_in_the_middle,transformation_mismatch,56
gemma,multi_label_classification,irrelevant_suffix,invalid_label,51
gemma,multi_label_classification,irrelevant_prefix,invalid_label,50
gemma,rule_based_transformation,negation_distraction,transformation_mismatch,49
gemma,multi_label_classification,style_distraction,invalid_label,47
gemma,rule_based_transformation,irrelevant_prefix,transformation_mismatch,45
gemma,rule_based_transformation,style_distraction,transformation_mismatch,45
gemma,multi_label_classification,negation_distraction,invalid_label,44
gemma,rule_based_transformation,conflicting_instruction,transformation_mismatch,44
gemma,multi_label_classification,clean,invalid_label,43
gemma,rule_based_transformation,clean,transformation_mismatch,43
gemma,rule_based_transformation,length_stress,transformation_mismatch,41
gemma,information_extraction,conflicting_instruction,invalid_json_or_extra_text,36
gemma,multi_label_classification,conflicting_instruction,invalid_label,32
gemma,single_label_classification,conflicting_instruction,invalid_json_or_extra_text,31
gemma,rule_based_transformation,conflicting_instruction,invalid_json_or_extra_text,26
gemma,multi_label_classification,conflicting_instruction,invalid_json_or_extra_text,24
gemma,extractive_qa,conflicting_instruction,invalid_json_or_extra_text,19
gemma,information_extraction,style_distraction,invalid_json_or_extra_text,13
gemma,single_label_classification,irrelevant_suffix,invalid_label,13
gemma,information_extraction,conflicting_instruction,schema_violation,10
gemma,single_label_classification,instruction_in_the_middle,invalid_label,10
gemma,extractive_qa,style_distraction,span_inflation,8
gemma,single_label_classification,conflicting_instruction,invalid_label,8
gemma,rule_based_transformation,style_distraction,invalid_json_or_extra_text,7
gemma,extractive_qa,clean,span_inflation,5
gemma,extractive_qa,instruction_in_the_middle,span_inflation,5
gemma,extractive_qa,negation_distraction,span_inflation,5
gemma,extractive_qa,conflicting_instruction,span_inflation,4
gemma,extractive_qa,irrelevant_prefix,span_inflation,4
gemma,extractive_qa,irrelevant_suffix,span_inflation,4
gemma,extractive_qa,length_stress,span_inflation,4
gemma,information_extraction,instruction_in_the_middle,entity_or_field_mismatch,4
gemma,multi_label_classification,style_distraction,invalid_json_or_extra_text,4
gemma,rule_based_transformation,conflicting_instruction,schema_violation,4
gemma,single_label_classification,irrelevant_prefix,invalid_label,3
gemma,extractive_qa,conflicting_instruction,schema_violation,2
gemma,information_extraction,irrelevant_prefix,entity_or_field_mismatch,2
gemma,information_extraction,irrelevant_suffix,schema_violation,2
gemma,multi_label_classification,instruction_in_the_middle,wrong_label_set,2
gemma,multi_label_classification,irrelevant_suffix,wrong_label_set,2
gemma,rule_based_transformation,instruction_in_the_middle,invalid_json_or_extra_text,2
gemma,rule_based_transformation,length_stress,invalid_json_or_extra_text,2
gemma,extractive_qa,style_distraction,invalid_json_or_extra_text,1
gemma,information_extraction,irrelevant_suffix,entity_or_field_mismatch,1
gemma,multi_label_classification,conflicting_instruction,wrong_label_set,1
gemma,multi_label_classification,length_stress,wrong_label_set,1
gemma,multi_label_classification,negation_distraction,wrong_label_set,1
gemma,single_label_classification,style_distraction,invalid_json_or_extra_text,1
llama,rule_based_transformation,irrelevant_suffix,transformation_mismatch,82
llama,rule_based_transformation,instruction_in_the_middle,transformation_mismatch,80
llama,multi_label_classification,length_stress,invalid_label,75
llama,rule_based_transformation,irrelevant_prefix,transformation_mismatch,74
llama,multi_label_classification,instruction_in_the_middle,invalid_label,73
llama,rule_based_transformation,negation_distraction,transformation_mismatch,71
llama,rule_based_transformation,length_stress,transformation_mismatch,70
llama,rule_based_transformation,clean,transformation_mismatch,69
llama,multi_label_classification,irrelevant_prefix,invalid_label,64
llama,rule_based_transformation,style_distraction,transformation_mismatch,60
llama,multi_label_classification,clean,invalid_label,57
llama,rule_based_transformation,conflicting_instruction,transformation_mismatch,55
llama,multi_label_classification,irrelevant_suffix,invalid_label,53
llama,multi_label_classification,negation_distraction,invalid_label,51
llama,multi_label_classification,conflicting_instruction,invalid_label,47
llama,extractive_qa,length_stress,span_inflation,34
llama,extractive_qa,style_distraction,span_inflation,30
llama,multi_label_classification,style_distraction,invalid_label,25
llama,extractive_qa,instruction_in_the_middle,span_inflation,24
llama,extractive_qa,irrelevant_prefix,span_inflation,23
llama,extractive_qa,clean,span_inflation,21
llama,information_extraction,style_distraction,invalid_json_or_extra_text,21
llama,extractive_qa,conflicting_instruction,span_inflation,20
llama,extractive_qa,irrelevant_suffix,span_inflation,19
llama,rule_based_transformation,style_distraction,invalid_json_or_extra_text,17
llama,extractive_qa,negation_distraction,span_inflation,16
llama,information_extraction,irrelevant_prefix,entity_or_field_mismatch,13
llama,information_extraction,length_stress,entity_or_field_mismatch,13
llama,information_extraction,conflicting_instruction,schema_violation,12
llama,information_extraction,instruction_in_the_middle,entity_or_field_mismatch,12
llama,information_extraction,negation_distraction,entity_or_field_mismatch,12
llama,single_label_classification,conflicting_instruction,schema_violation,12
llama,information_extraction,irrelevant_suffix,entity_or_field_mismatch,11
llama,information_extraction,clean,entity_or_field_mismatch,10
llama,information_extraction,conflicting_instruction,entity_or_field_mismatch,10
