model,prompt_id,task_name,regime,distraction_type,raw_output,parsed_output,gold_output,parse_success,parse_error_code,score_error_code,failure_type,notes
qwen7b,qa_248__bounded__clean,extractive_qa,bounded,clean,"{""answer"": ""the fitness watch""}",{'answer': 'the fitness watch'},{'answer': 'fitness watch'},True,,wrong_answer,wrong_answer,
qwen7b,qa_241__bounded__clean,extractive_qa,bounded,clean,"{""answer"": ""the security platform""}",{'answer': 'the security platform'},{'answer': 'security platform'},True,,wrong_answer,wrong_answer,
qwen7b,qa_248__unbounded__clean,extractive_qa,unbounded,clean,"{""answer"": ""the fitness watch""}",{'answer': 'the fitness watch'},{'answer': 'fitness watch'},True,,wrong_answer,wrong_answer,
qwen7b,qa_242__unbounded__clean,extractive_qa,unbounded,clean,"{""answer"": ""the analytics dashboard""}",{'answer': 'the analytics dashboard'},{'answer': 'analytics dashboard'},True,,wrong_answer,wrong_answer,
qwen7b,qa_200__bounded__conflicting_instruction,extractive_qa,bounded,conflicting_instruction,"{""answer"": ""BlueRiver Health will roll out the medical software on 2025-10-03.""}",{'answer': 'BlueRiver Health will roll out the medical software on 2025-10-03.'},{'answer': 'BlueRiver Health'},True,,wrong_answer,paraphrased_answer,
qwen7b,qa_223__bounded__conflicting_instruction,extractive_qa,bounded,conflicting_instruction,"[""Berlin""]",,{'answer': 'Berlin'},False,wrong_schema,wrong_schema,wrong_schema,
qwen7b,qa_202__unbounded__conflicting_instruction,extractive_qa,unbounded,conflicting_instruction,"{""status"": ""success"", ""content"": ""BlueRiver Health""}",,{'answer': 'BlueRiver Health'},False,missing_key,missing_key,wrong_schema,
qwen7b,qa_241__unbounded__conflicting_instruction,extractive_qa,unbounded,conflicting_instruction,"{""answer"": ""the security platform""}",{'answer': 'the security platform'},{'answer': 'security platform'},True,,wrong_answer,wrong_answer,
qwen7b,qa_225__bounded__instruction_in_the_middle,extractive_qa,bounded,instruction_in_the_middle,"{""answer"": """"}",{'answer': ''},{'answer': 'Lisbon'},True,,wrong_answer,wrong_answer,
qwen7b,qa_229__bounded__instruction_in_the_middle,extractive_qa,bounded,instruction_in_the_middle,"{""answer"": """"}",{'answer': ''},{'answer': 'Alice Smith'},True,,wrong_answer,wrong_answer,
