task_name,distraction_type,accuracy,parse_failure_rate,n
single_label_classification,clean,0.982,0.018,500
single_label_classification,irrelevant_prefix,0.96,0.04,500
single_label_classification,irrelevant_suffix,0.9,0.1,500
single_label_classification,instruction_in_the_middle,0.882,0.118,500
single_label_classification,conflicting_instruction,0.724,0.276,500
single_label_classification,negation_distraction,0.97,0.03,500
single_label_classification,style_distraction,0.872,0.128,500
single_label_classification,length_stress,0.982,0.018,500
multi_label_classification,clean,0.424,0.556,500
multi_label_classification,irrelevant_prefix,0.39,0.604,500
multi_label_classification,irrelevant_suffix,0.346,0.634,500
multi_label_classification,instruction_in_the_middle,0.274,0.69,500
multi_label_classification,conflicting_instruction,0.348,0.64,500
multi_label_classification,negation_distraction,0.42,0.556,500
multi_label_classification,style_distraction,0.424,0.566,500
multi_label_classification,length_stress,0.332,0.658,500
information_extraction,clean,0.974,0.0,500
information_extraction,irrelevant_prefix,0.948,0.0,500
information_extraction,irrelevant_suffix,0.952,0.004,500
information_extraction,instruction_in_the_middle,0.942,0.0,500
information_extraction,conflicting_instruction,0.572,0.404,500
information_extraction,negation_distraction,0.946,0.0,500
information_extraction,style_distraction,0.7,0.226,500
information_extraction,length_stress,0.966,0.002,500
rule_based_transformation,clean,0.418,0.018,500
rule_based_transformation,irrelevant_prefix,0.368,0.03,500
rule_based_transformation,irrelevant_suffix,0.284,0.02,500
rule_based_transformation,instruction_in_the_middle,0.292,0.036,500
rule_based_transformation,conflicting_instruction,0.254,0.25,500
rule_based_transformation,negation_distraction,0.374,0.012,500
rule_based_transformation,style_distraction,0.282,0.084,500
rule_based_transformation,length_stress,0.398,0.036,500
extractive_qa,clean,0.858,0.0,500
extractive_qa,irrelevant_prefix,0.842,0.0,500
extractive_qa,irrelevant_suffix,0.864,0.0,500
extractive_qa,instruction_in_the_middle,0.818,0.0,500
extractive_qa,conflicting_instruction,0.612,0.206,500
extractive_qa,negation_distraction,0.888,0.0,500
extractive_qa,style_distraction,0.424,0.044,500
extractive_qa,length_stress,0.83,0.0,500
