model,qa_failure_category,count
gemma,strict_correct,739
gemma,span_boundary_near_miss,39
gemma,invalid_json_or_extra_text,20
gemma,schema_violation,2
llama,strict_correct,598
llama,span_boundary_near_miss,135
llama,span_inflation_contains_gold,52
llama,schema_violation,9
llama,invalid_json_or_extra_text,5
llama,wrong_span,1
mistral_base,invalid_json_or_extra_text,784
mistral_base,parse_failure_empty_output,16
mistral_instruct,strict_correct,621
mistral_instruct,span_inflation_contains_gold,109
mistral_instruct,invalid_json_or_extra_text,38
mistral_instruct,wrong_span,17
mistral_instruct,span_boundary_near_miss,8
mistral_instruct,schema_violation,7
qwen14b,strict_correct,554
qwen14b,span_boundary_near_miss,135
qwen14b,span_inflation_contains_gold,76
qwen14b,invalid_json_or_extra_text,24
qwen14b,schema_violation,8
qwen14b,wrong_span,3
qwen7b,strict_correct,556
qwen7b,span_boundary_near_miss,109
qwen7b,span_inflation_contains_gold,87
qwen7b,empty_answer,29
qwen7b,schema_violation,8
qwen7b,wrong_span,7
qwen7b,invalid_json_or_extra_text,4
