model,task_name,distraction_type,strict_accuracy,relaxed_accuracy,relaxed_gain,parse_failure_rate,n
gemma,extractive_qa,clean,0.95,1.0,0.05,0.0,100
gemma,extractive_qa,conflicting_instruction,0.75,0.79,0.04,0.21,100
gemma,extractive_qa,instruction_in_the_middle,0.95,1.0,0.05,0.0,100
gemma,extractive_qa,irrelevant_prefix,0.96,1.0,0.04,0.0,100
gemma,extractive_qa,irrelevant_suffix,0.96,1.0,0.04,0.0,100
gemma,extractive_qa,length_stress,0.96,1.0,0.04,0.0,100
gemma,extractive_qa,negation_distraction,0.95,1.0,0.05,0.0,100
gemma,extractive_qa,style_distraction,0.91,0.99,0.08,0.01,100
gemma,information_extraction,clean,1.0,1.0,0.0,0.0,100
gemma,information_extraction,conflicting_instruction,0.54,0.54,0.0,0.46,100
gemma,information_extraction,instruction_in_the_middle,0.96,0.96,0.0,0.0,100
gemma,information_extraction,irrelevant_prefix,0.98,0.98,0.0,0.0,100
gemma,information_extraction,irrelevant_suffix,0.97,0.97,0.0,0.02,100
gemma,information_extraction,length_stress,1.0,1.0,0.0,0.0,100
gemma,information_extraction,negation_distraction,1.0,1.0,0.0,0.0,100
gemma,information_extraction,style_distraction,0.87,0.87,0.0,0.13,100
gemma,multi_label_classification,clean,0.57,0.57,0.0,0.43,100
gemma,multi_label_classification,conflicting_instruction,0.43,0.43,0.0,0.56,100
gemma,multi_label_classification,instruction_in_the_middle,0.39,0.39,0.0,0.59,100
gemma,multi_label_classification,irrelevant_prefix,0.5,0.5,0.0,0.5,100
gemma,multi_label_classification,irrelevant_suffix,0.47,0.47,0.0,0.51,100
gemma,multi_label_classification,length_stress,0.41,0.41,0.0,0.58,100
gemma,multi_label_classification,negation_distraction,0.55,0.55,0.0,0.44,100
gemma,multi_label_classification,style_distraction,0.49,0.49,0.0,0.51,100
gemma,rule_based_transformation,clean,0.57,0.57,0.0,0.0,100
gemma,rule_based_transformation,conflicting_instruction,0.26,0.26,0.0,0.3,100
gemma,rule_based_transformation,instruction_in_the_middle,0.42,0.42,0.0,0.02,100
gemma,rule_based_transformation,irrelevant_prefix,0.55,0.55,0.0,0.0,100
gemma,rule_based_transformation,irrelevant_suffix,0.42,0.42,0.0,0.0,100
gemma,rule_based_transformation,length_stress,0.57,0.57,0.0,0.02,100
gemma,rule_based_transformation,negation_distraction,0.51,0.51,0.0,0.0,100
gemma,rule_based_transformation,style_distraction,0.48,0.48,0.0,0.07,100
gemma,single_label_classification,clean,1.0,1.0,0.0,0.0,100
gemma,single_label_classification,conflicting_instruction,0.61,0.61,0.0,0.39,100
gemma,single_label_classification,instruction_in_the_middle,0.9,0.9,0.0,0.1,100
gemma,single_label_classification,irrelevant_prefix,0.97,0.97,0.0,0.03,100
gemma,single_label_classification,irrelevant_suffix,0.87,0.87,0.0,0.13,100
gemma,single_label_classification,length_stress,1.0,1.0,0.0,0.0,100
gemma,single_label_classification,negation_distraction,1.0,1.0,0.0,0.0,100
gemma,single_label_classification,style_distraction,0.99,0.99,0.0,0.01,100
llama,extractive_qa,clean,0.79,0.95,0.16,0.0,100
llama,extractive_qa,conflicting_instruction,0.71,0.87,0.16,0.09,100
llama,extractive_qa,instruction_in_the_middle,0.76,0.92,0.16,0.0,100
llama,extractive_qa,irrelevant_prefix,0.77,0.95,0.18,0.0,100
llama,extractive_qa,irrelevant_suffix,0.81,0.98,0.17,0.0,100
llama,extractive_qa,length_stress,0.66,0.83,0.17,0.0,100
llama,extractive_qa,negation_distraction,0.84,0.96,0.12,0.0,100
llama,extractive_qa,style_distraction,0.64,0.87,0.23,0.05,100
llama,information_extraction,clean,0.9,0.9,0.0,0.0,100
llama,information_extraction,conflicting_instruction,0.72,0.72,0.0,0.18,100
llama,information_extraction,instruction_in_the_middle,0.88,0.88,0.0,0.0,100
llama,information_extraction,irrelevant_prefix,0.87,0.87,0.0,0.0,100
llama,information_extraction,irrelevant_suffix,0.89,0.89,0.0,0.0,100
llama,information_extraction,length_stress,0.87,0.87,0.0,0.0,100
llama,information_extraction,negation_distraction,0.88,0.88,0.0,0.0,100
llama,information_extraction,style_distraction,0.73,0.73,0.0,0.22,100
llama,multi_label_classification,clean,0.43,0.43,0.0,0.57,100
llama,multi_label_classification,conflicting_instruction,0.41,0.41,0.0,0.57,100
llama,multi_label_classification,instruction_in_the_middle,0.23,0.23,0.0,0.73,100
llama,multi_label_classification,irrelevant_prefix,0.34,0.34,0.0,0.64,100
llama,multi_label_classification,irrelevant_suffix,0.45,0.45,0.0,0.53,100
llama,multi_label_classification,length_stress,0.24,0.24,0.0,0.75,100
llama,multi_label_classification,negation_distraction,0.49,0.49,0.0,0.51,100
llama,multi_label_classification,style_distraction,0.67,0.67,0.0,0.3,100
llama,rule_based_transformation,clean,0.31,0.31,0.0,0.0,100
llama,rule_based_transformation,conflicting_instruction,0.26,0.26,0.0,0.19,100
llama,rule_based_transformation,instruction_in_the_middle,0.15,0.15,0.0,0.05,100
llama,rule_based_transformation,irrelevant_prefix,0.25,0.25,0.0,0.01,100
llama,rule_based_transformation,irrelevant_suffix,0.18,0.18,0.0,0.0,100
llama,rule_based_transformation,length_stress,0.28,0.28,0.0,0.02,100
llama,rule_based_transformation,negation_distraction,0.28,0.28,0.0,0.01,100
llama,rule_based_transformation,style_distraction,0.23,0.23,0.0,0.17,100
llama,single_label_classification,clean,0.98,0.98,0.0,0.02,100
llama,single_label_classification,conflicting_instruction,0.86,0.86,0.0,0.14,100
llama,single_label_classification,instruction_in_the_middle,0.88,0.88,0.0,0.12,100
llama,single_label_classification,irrelevant_prefix,0.98,0.98,0.0,0.02,100
llama,single_label_classification,irrelevant_suffix,0.9,0.9,0.0,0.1,100
llama,single_label_classification,length_stress,0.99,0.99,0.0,0.01,100
llama,single_label_classification,negation_distraction,0.96,0.96,0.0,0.04,100
llama,single_label_classification,style_distraction,0.93,0.93,0.0,0.07,100
mistral_base,extractive_qa,clean,0.0,0.0,0.0,1.0,100
mistral_base,extractive_qa,conflicting_instruction,0.0,0.0,0.0,1.0,100
mistral_base,extractive_qa,instruction_in_the_middle,0.0,0.0,0.0,1.0,100
mistral_base,extractive_qa,irrelevant_prefix,0.0,0.0,0.0,1.0,100
mistral_base,extractive_qa,irrelevant_suffix,0.0,0.0,0.0,1.0,100
mistral_base,extractive_qa,length_stress,0.0,0.0,0.0,1.0,100
mistral_base,extractive_qa,negation_distraction,0.0,0.0,0.0,1.0,100
mistral_base,extractive_qa,style_distraction,0.0,0.0,0.0,1.0,100
mistral_base,information_extraction,clean,0.0,0.0,0.0,1.0,100
mistral_base,information_extraction,conflicting_instruction,0.0,0.0,0.0,1.0,100
mistral_base,information_extraction,instruction_in_the_middle,0.0,0.0,0.0,1.0,100
