model,prompt_id,regime,distraction_type,gold_answer,pred_answer,raw_output
gemma,qa_241__bounded__conflicting_instruction,bounded,conflicting_instruction,security platform,a security platform,"{""answer"": ""a security platform""}"
gemma,qa_241__unbounded__negation_distraction,unbounded,negation_distraction,security platform,a security platform,"{""answer"": ""a security platform""}"
gemma,qa_241__unbounded__style_distraction,unbounded,style_distraction,security platform,a security platform,"{""answer"": ""a security platform""}"
gemma,qa_244__bounded__clean,bounded,clean,budget phone,a budget phone,"{""answer"": ""a budget phone""}"
gemma,qa_244__bounded__instruction_in_the_middle,bounded,instruction_in_the_middle,budget phone,a budget phone,"{""answer"": ""a budget phone""}"
gemma,qa_244__bounded__style_distraction,bounded,style_distraction,budget phone,a budget phone,"{""answer"": ""a budget phone""}"
gemma,qa_244__unbounded__style_distraction,unbounded,style_distraction,budget phone,a budget phone,"{""answer"": ""a budget phone""}"
gemma,qa_247__bounded__style_distraction,bounded,style_distraction,solar battery,a solar battery,"{""answer"": ""a solar battery""}"
gemma,qa_248__bounded__clean,bounded,clean,fitness watch,a fitness watch,"{""answer"": ""a fitness watch""}"
gemma,qa_248__bounded__irrelevant_prefix,bounded,irrelevant_prefix,fitness watch,a fitness watch,"{""answer"": ""a fitness watch""}"
gemma,qa_248__bounded__irrelevant_suffix,bounded,irrelevant_suffix,fitness watch,a fitness watch,"{""answer"": ""a fitness watch""}"
gemma,qa_248__bounded__instruction_in_the_middle,bounded,instruction_in_the_middle,fitness watch,a fitness watch,"{""answer"": ""a fitness watch""}"
gemma,qa_248__bounded__conflicting_instruction,bounded,conflicting_instruction,fitness watch,a fitness watch,"{""answer"": ""a fitness watch""}"
gemma,qa_248__bounded__negation_distraction,bounded,negation_distraction,fitness watch,a fitness watch,"{""answer"": ""a fitness watch""}"
gemma,qa_248__bounded__style_distraction,bounded,style_distraction,fitness watch,a fitness watch,"{""answer"": ""a fitness watch""}"
gemma,qa_248__bounded__length_stress,bounded,length_stress,fitness watch,a fitness watch,"{""answer"": ""a fitness watch""}"
gemma,qa_248__unbounded__clean,unbounded,clean,fitness watch,a fitness watch,"{""answer"": ""a fitness watch""}"
