level,group,num_examples,num_correct,accuracy,num_parse_failures,parse_failure_rate,top_error_code,top_error_count
overall,all,4000,2540,0.635000,611,0.152750,none,2540
task,extractive_qa,800,598,0.747500,14,0.017500,none,598
task,information_extraction,800,674,0.842500,40,0.050000,none,674
task,multi_label_classification,800,326,0.407500,460,0.575000,invalid_label,445
task,rule_based_transformation,800,194,0.242500,45,0.056250,wrong_answer,561
task,single_label_classification,800,748,0.935000,52,0.065000,none,748
regime,bounded,2000,1261,0.630500,282,0.141000,none,1261
regime,unbounded,2000,1279,0.639500,329,0.164500,none,1279
distraction_type,clean,500,341,0.682000,59,0.118000,none,341
distraction_type,conflicting_instruction,500,296,0.592000,117,0.234000,none,296
distraction_type,instruction_in_the_middle,500,290,0.580000,90,0.180000,none,290
distraction_type,irrelevant_prefix,500,321,0.642000,67,0.134000,none,321
distraction_type,irrelevant_suffix,500,323,0.646000,63,0.126000,none,323
distraction_type,length_stress,500,304,0.608000,78,0.156000,none,304
distraction_type,negation_distraction,500,345,0.690000,56,0.112000,none,345
distraction_type,style_distraction,500,320,0.640000,81,0.162000,none,320
task__regime,extractive_qa__bounded,400,299,0.747500,7,0.017500,none,299
task__regime,extractive_qa__unbounded,400,299,0.747500,7,0.017500,none,299
task__regime,information_extraction__bounded,400,330,0.825000,17,0.042500,none,330
task__regime,information_extraction__unbounded,400,344,0.860000,23,0.057500,none,344
task__regime,multi_label_classification__bounded,400,167,0.417500,219,0.547500,invalid_label,212
task__regime,multi_label_classification__unbounded,400,159,0.397500,241,0.602500,invalid_label,233
task__regime,rule_based_transformation__bounded,400,89,0.222500,15,0.037500,wrong_answer,296
task__regime,rule_based_transformation__unbounded,400,105,0.262500,30,0.075000,wrong_answer,265
task__regime,single_label_classification__bounded,400,376,0.940000,24,0.060000,none,376
task__regime,single_label_classification__unbounded,400,372,0.930000,28,0.070000,none,372
task__distraction_type,extractive_qa__clean,100,79,0.790000,0,0.000000,none,79
task__distraction_type,extractive_qa__conflicting_instruction,100,71,0.710000,9,0.090000,none,71
task__distraction_type,extractive_qa__instruction_in_the_middle,100,76,0.760000,0,0.000000,none,76
task__distraction_type,extractive_qa__irrelevant_prefix,100,77,0.770000,0,0.000000,none,77
task__distraction_type,extractive_qa__irrelevant_suffix,100,81,0.810000,0,0.000000,none,81
task__distraction_type,extractive_qa__length_stress,100,66,0.660000,0,0.000000,none,66
task__distraction_type,extractive_qa__negation_distraction,100,84,0.840000,0,0.000000,none,84
task__distraction_type,extractive_qa__style_distraction,100,64,0.640000,5,0.050000,none,64
task__distraction_type,information_extraction__clean,100,90,0.900000,0,0.000000,none,90
task__distraction_type,information_extraction__conflicting_instruction,100,72,0.720000,18,0.180000,none,72
task__distraction_type,information_extraction__instruction_in_the_middle,100,88,0.880000,0,0.000000,none,88
task__distraction_type,information_extraction__irrelevant_prefix,100,87,0.870000,0,0.000000,none,87
task__distraction_type,information_extraction__irrelevant_suffix,100,89,0.890000,0,0.000000,none,89
task__distraction_type,information_extraction__length_stress,100,87,0.870000,0,0.000000,none,87
task__distraction_type,information_extraction__negation_distraction,100,88,0.880000,0,0.000000,none,88
task__distraction_type,information_extraction__style_distraction,100,73,0.730000,22,0.220000,none,73
task__distraction_type,multi_label_classification__clean,100,43,0.430000,57,0.570000,invalid_label,57
task__distraction_type,multi_label_classification__conflicting_instruction,100,41,0.410000,57,0.570000,invalid_label,47
task__distraction_type,multi_label_classification__instruction_in_the_middle,100,23,0.230000,73,0.730000,invalid_label,73
task__distraction_type,multi_label_classification__irrelevant_prefix,100,34,0.340000,64,0.640000,invalid_label,64
task__distraction_type,multi_label_classification__irrelevant_suffix,100,45,0.450000,53,0.530000,invalid_label,53
task__distraction_type,multi_label_classification__length_stress,100,24,0.240000,75,0.750000,invalid_label,75
task__distraction_type,multi_label_classification__negation_distraction,100,49,0.490000,51,0.510000,invalid_label,51
task__distraction_type,multi_label_classification__style_distraction,100,67,0.670000,30,0.300000,none,67
task__distraction_type,rule_based_transformation__clean,100,31,0.310000,0,0.000000,wrong_answer,69
task__distraction_type,rule_based_transformation__conflicting_instruction,100,26,0.260000,19,0.190000,wrong_answer,55
task__distraction_type,rule_based_transformation__instruction_in_the_middle,100,15,0.150000,5,0.050000,wrong_answer,80
task__distraction_type,rule_based_transformation__irrelevant_prefix,100,25,0.250000,1,0.010000,wrong_answer,74
task__distraction_type,rule_based_transformation__irrelevant_suffix,100,18,0.180000,0,0.000000,wrong_answer,82
task__distraction_type,rule_based_transformation__length_stress,100,28,0.280000,2,0.020000,wrong_answer,70
task__distraction_type,rule_based_transformation__negation_distraction,100,28,0.280000,1,0.010000,wrong_answer,71
task__distraction_type,rule_based_transformation__style_distraction,100,23,0.230000,17,0.170000,wrong_answer,60
task__distraction_type,single_label_classification__clean,100,98,0.980000,2,0.020000,none,98
task__distraction_type,single_label_classification__conflicting_instruction,100,86,0.860000,14,0.140000,none,86
task__distraction_type,single_label_classification__instruction_in_the_middle,100,88,0.880000,12,0.120000,none,88
task__distraction_type,single_label_classification__irrelevant_prefix,100,98,0.980000,2,0.020000,none,98
task__distraction_type,single_label_classification__irrelevant_suffix,100,90,0.900000,10,0.100000,none,90
task__distraction_type,single_label_classification__length_stress,100,99,0.990000,1,0.010000,none,99
task__distraction_type,single_label_classification__negation_distraction,100,96,0.960000,4,0.040000,none,96
task__distraction_type,single_label_classification__style_distraction,100,93,0.930000,7,0.070000,none,93
