level,group,num_examples,num_correct,accuracy,num_parse_failures,parse_failure_rate,top_error_code,top_error_count
overall,all,4000,2639,0.659750,661,0.165250,none,2639
task,extractive_qa,800,554,0.692500,32,0.040000,none,554
task,information_extraction,800,735,0.918750,37,0.046250,none,735
task,multi_label_classification,800,308,0.385000,486,0.607500,invalid_label,471
task,rule_based_transformation,800,313,0.391250,35,0.043750,wrong_answer,452
task,single_label_classification,800,729,0.911250,71,0.088750,none,729
regime,bounded,2000,1364,0.682000,297,0.148500,none,1364
regime,unbounded,2000,1275,0.637500,364,0.182000,none,1275
distraction_type,clean,500,367,0.734000,62,0.124000,none,367
distraction_type,conflicting_instruction,500,249,0.498000,174,0.348000,none,249
distraction_type,instruction_in_the_middle,500,332,0.664000,81,0.162000,none,332
distraction_type,irrelevant_prefix,500,349,0.698000,71,0.142000,none,349
distraction_type,irrelevant_suffix,500,334,0.668000,77,0.154000,none,334
distraction_type,length_stress,500,369,0.738000,68,0.136000,none,369
distraction_type,negation_distraction,500,369,0.738000,62,0.124000,none,369
distraction_type,style_distraction,500,270,0.540000,66,0.132000,none,270
task__regime,extractive_qa__bounded,400,271,0.677500,13,0.032500,none,271
task__regime,extractive_qa__unbounded,400,283,0.707500,19,0.047500,none,283
task__regime,information_extraction__bounded,400,365,0.912500,18,0.045000,none,365
task__regime,information_extraction__unbounded,400,370,0.925000,19,0.047500,none,370
task__regime,multi_label_classification__bounded,400,179,0.447500,217,0.542500,invalid_label,213
task__regime,multi_label_classification__unbounded,400,129,0.322500,269,0.672500,invalid_label,258
task__regime,rule_based_transformation__bounded,400,178,0.445000,20,0.050000,wrong_answer,202
task__regime,rule_based_transformation__unbounded,400,135,0.337500,15,0.037500,wrong_answer,250
task__regime,single_label_classification__bounded,400,371,0.927500,29,0.072500,none,371
task__regime,single_label_classification__unbounded,400,358,0.895000,42,0.105000,none,358
task__distraction_type,extractive_qa__clean,100,79,0.790000,0,0.000000,none,79
task__distraction_type,extractive_qa__conflicting_instruction,100,45,0.450000,28,0.280000,none,45
task__distraction_type,extractive_qa__instruction_in_the_middle,100,82,0.820000,0,0.000000,none,82
task__distraction_type,extractive_qa__irrelevant_prefix,100,80,0.800000,0,0.000000,none,80
task__distraction_type,extractive_qa__irrelevant_suffix,100,80,0.800000,0,0.000000,none,80
task__distraction_type,extractive_qa__length_stress,100,83,0.830000,0,0.000000,none,83
task__distraction_type,extractive_qa__negation_distraction,100,89,0.890000,0,0.000000,none,89
task__distraction_type,extractive_qa__style_distraction,100,16,0.160000,4,0.040000,wrong_answer,80
task__distraction_type,information_extraction__clean,100,99,0.990000,0,0.000000,none,99
task__distraction_type,information_extraction__conflicting_instruction,100,62,0.620000,37,0.370000,none,62
task__distraction_type,information_extraction__instruction_in_the_middle,100,97,0.970000,0,0.000000,none,97
task__distraction_type,information_extraction__irrelevant_prefix,100,96,0.960000,0,0.000000,none,96
task__distraction_type,information_extraction__irrelevant_suffix,100,99,0.990000,0,0.000000,none,99
task__distraction_type,information_extraction__length_stress,100,97,0.970000,0,0.000000,none,97
task__distraction_type,information_extraction__negation_distraction,100,99,0.990000,0,0.000000,none,99
task__distraction_type,information_extraction__style_distraction,100,86,0.860000,0,0.000000,none,86
task__distraction_type,multi_label_classification__clean,100,42,0.420000,58,0.580000,invalid_label,58
task__distraction_type,multi_label_classification__conflicting_instruction,100,39,0.390000,61,0.610000,invalid_label,46
task__distraction_type,multi_label_classification__instruction_in_the_middle,100,34,0.340000,63,0.630000,invalid_label,63
task__distraction_type,multi_label_classification__irrelevant_prefix,100,35,0.350000,65,0.650000,invalid_label,65
task__distraction_type,multi_label_classification__irrelevant_suffix,100,37,0.370000,63,0.630000,invalid_label,63
task__distraction_type,multi_label_classification__length_stress,100,40,0.400000,60,0.600000,invalid_label,60
task__distraction_type,multi_label_classification__negation_distraction,100,40,0.400000,57,0.570000,invalid_label,57
task__distraction_type,multi_label_classification__style_distraction,100,41,0.410000,59,0.590000,invalid_label,59
task__distraction_type,rule_based_transformation__clean,100,50,0.500000,1,0.010000,none,50
task__distraction_type,rule_based_transformation__conflicting_instruction,100,30,0.300000,21,0.210000,wrong_answer,49
task__distraction_type,rule_based_transformation__instruction_in_the_middle,100,34,0.340000,3,0.030000,wrong_answer,63
task__distraction_type,rule_based_transformation__irrelevant_prefix,100,42,0.420000,2,0.020000,wrong_answer,56
task__distraction_type,rule_based_transformation__irrelevant_suffix,100,30,0.300000,2,0.020000,wrong_answer,68
task__distraction_type,rule_based_transformation__length_stress,100,51,0.510000,6,0.060000,none,51
task__distraction_type,rule_based_transformation__negation_distraction,100,46,0.460000,0,0.000000,wrong_answer,54
task__distraction_type,rule_based_transformation__style_distraction,100,30,0.300000,0,0.000000,wrong_answer,70
task__distraction_type,single_label_classification__clean,100,97,0.970000,3,0.030000,none,97
task__distraction_type,single_label_classification__conflicting_instruction,100,73,0.730000,27,0.270000,none,73
task__distraction_type,single_label_classification__instruction_in_the_middle,100,85,0.850000,15,0.150000,none,85
task__distraction_type,single_label_classification__irrelevant_prefix,100,96,0.960000,4,0.040000,none,96
task__distraction_type,single_label_classification__irrelevant_suffix,100,88,0.880000,12,0.120000,none,88
task__distraction_type,single_label_classification__length_stress,100,98,0.980000,2,0.020000,none,98
task__distraction_type,single_label_classification__negation_distraction,100,95,0.950000,5,0.050000,none,95
task__distraction_type,single_label_classification__style_distraction,100,97,0.970000,3,0.030000,none,97
