model,model_display,task_name,accuracy,parse_failure_rate,n
gemma,Gemma-2-9B-it,single_label_classification,0.9175,0.0825,800
gemma,Gemma-2-9B-it,multi_label_classification,0.47625,0.515,800
gemma,Gemma-2-9B-it,information_extraction,0.915,0.07625,800
gemma,Gemma-2-9B-it,rule_based_transformation,0.4725,0.05125,800
gemma,Gemma-2-9B-it,extractive_qa,0.92375,0.0275,800
qwen14b,Qwen2.5-14B-Instruct,single_label_classification,0.91125,0.08875,800
qwen14b,Qwen2.5-14B-Instruct,multi_label_classification,0.385,0.6075,800
qwen14b,Qwen2.5-14B-Instruct,information_extraction,0.91875,0.04625,800
qwen14b,Qwen2.5-14B-Instruct,rule_based_transformation,0.39125,0.04375,800
qwen14b,Qwen2.5-14B-Instruct,extractive_qa,0.6925,0.04,800
qwen7b,Qwen2.5-7B-Instruct,single_label_classification,0.91,0.09,800
qwen7b,Qwen2.5-7B-Instruct,multi_label_classification,0.39,0.58125,800
qwen7b,Qwen2.5-7B-Instruct,information_extraction,0.89875,0.04625,800
qwen7b,Qwen2.5-7B-Instruct,rule_based_transformation,0.36,0.0775,800
qwen7b,Qwen2.5-7B-Instruct,extractive_qa,0.695,0.015,800
llama,Llama-3.1-8B-Instruct,single_label_classification,0.935,0.065,800
llama,Llama-3.1-8B-Instruct,multi_label_classification,0.4075,0.575,800
llama,Llama-3.1-8B-Instruct,information_extraction,0.8425,0.05,800
llama,Llama-3.1-8B-Instruct,rule_based_transformation,0.2425,0.05625,800
llama,Llama-3.1-8B-Instruct,extractive_qa,0.7475,0.0175,800
mistral_instruct,Mistral-7B-Instruct-v0.3,single_label_classification,0.87125,0.12875,800
mistral_instruct,Mistral-7B-Instruct-v0.3,multi_label_classification,0.19,0.78625,800
mistral_instruct,Mistral-7B-Instruct-v0.3,information_extraction,0.8,0.17875,800
mistral_instruct,Mistral-7B-Instruct-v0.3,rule_based_transformation,0.2025,0.075,800
mistral_instruct,Mistral-7B-Instruct-v0.3,extractive_qa,0.77625,0.05625,800
