model,model_display,regime,accuracy,parse_failure_rate,n
gemma,Gemma-2-9B-it,bounded,0.7595,0.143,2000
gemma,Gemma-2-9B-it,unbounded,0.7225,0.158,2000
qwen14b,Qwen2.5-14B-Instruct,bounded,0.682,0.1485,2000
qwen14b,Qwen2.5-14B-Instruct,unbounded,0.6375,0.182,2000
qwen7b,Qwen2.5-7B-Instruct,bounded,0.676,0.1495,2000
qwen7b,Qwen2.5-7B-Instruct,unbounded,0.6255,0.1745,2000
llama,Llama-3.1-8B-Instruct,bounded,0.6305,0.141,2000
llama,Llama-3.1-8B-Instruct,unbounded,0.6395,0.1645,2000
mistral_instruct,Mistral-7B-Instruct-v0.3,bounded,0.58,0.239,2000
mistral_instruct,Mistral-7B-Instruct-v0.3,unbounded,0.556,0.251,2000
