model,task_name,suggested_failure_mode,count
gemma,extractive_qa,span_inflation,39
gemma,extractive_qa,invalid_json_or_extra_text,20
gemma,extractive_qa,schema_violation,2
gemma,information_extraction,invalid_json_or_extra_text,49
gemma,information_extraction,schema_violation,12
gemma,information_extraction,entity_or_field_mismatch,7
gemma,multi_label_classification,invalid_label,384
gemma,multi_label_classification,invalid_json_or_extra_text,28
gemma,multi_label_classification,wrong_label_set,7
gemma,rule_based_transformation,transformation_mismatch,381
gemma,rule_based_transformation,invalid_json_or_extra_text,37
gemma,rule_based_transformation,schema_violation,4
gemma,single_label_classification,invalid_label,34
gemma,single_label_classification,invalid_json_or_extra_text,32
llama,extractive_qa,span_inflation,187
llama,extractive_qa,schema_violation,9
llama,extractive_qa,invalid_json_or_extra_text,5
llama,extractive_qa,wrong_span,1
llama,information_extraction,entity_or_field_mismatch,86
llama,information_extraction,invalid_json_or_extra_text,27
llama,information_extraction,schema_violation,13
llama,multi_label_classification,invalid_label,445
llama,multi_label_classification,wrong_label_set,14
llama,multi_label_classification,schema_violation,9
llama,multi_label_classification,invalid_json_or_extra_text,6
llama,rule_based_transformation,transformation_mismatch,561
llama,rule_based_transformation,invalid_json_or_extra_text,35
llama,rule_based_transformation,schema_violation,10
llama,single_label_classification,invalid_label,31
llama,single_label_classification,schema_violation,12
llama,single_label_classification,invalid_json_or_extra_text,9
mistral_base,extractive_qa,invalid_json_or_extra_text,784
mistral_base,extractive_qa,parse_failure_empty_output,16
mistral_base,information_extraction,invalid_json_or_extra_text,758
mistral_base,information_extraction,parse_failure_empty_output,42
mistral_base,multi_label_classification,invalid_json_or_extra_text,788
mistral_base,multi_label_classification,parse_failure_empty_output,12
mistral_base,rule_based_transformation,invalid_json_or_extra_text,786
mistral_base,rule_based_transformation,parse_failure_empty_output,12
mistral_base,rule_based_transformation,transformation_mismatch,2
mistral_base,single_label_classification,invalid_json_or_extra_text,770
mistral_base,single_label_classification,parse_failure_empty_output,30
mistral_instruct,extractive_qa,span_inflation,111
mistral_instruct,extractive_qa,invalid_json_or_extra_text,38
mistral_instruct,extractive_qa,wrong_span,17
mistral_instruct,extractive_qa,schema_violation,7
mistral_instruct,extractive_qa,case_or_surface_mismatch,6
mistral_instruct,information_extraction,invalid_json_or_extra_text,127
mistral_instruct,information_extraction,entity_or_field_mismatch,17
mistral_instruct,information_extraction,schema_violation,16
mistral_instruct,multi_label_classification,invalid_label,524
mistral_instruct,multi_label_classification,invalid_json_or_extra_text,96
mistral_instruct,multi_label_classification,wrong_label_set,19
mistral_instruct,multi_label_classification,schema_violation,9
mistral_instruct,rule_based_transformation,transformation_mismatch,578
mistral_instruct,rule_based_transformation,invalid_json_or_extra_text,51
mistral_instruct,rule_based_transformation,schema_violation,9
mistral_instruct,single_label_classification,invalid_json_or_extra_text,51
mistral_instruct,single_label_classification,invalid_label,48
mistral_instruct,single_label_classification,schema_violation,4
qwen14b,extractive_qa,span_inflation,211
qwen14b,extractive_qa,invalid_json_or_extra_text,24
qwen14b,extractive_qa,schema_violation,8
qwen14b,extractive_qa,wrong_span,3
qwen14b,information_extraction,entity_or_field_mismatch,28
qwen14b,information_extraction,invalid_json_or_extra_text,23
qwen14b,information_extraction,schema_violation,14
qwen14b,multi_label_classification,invalid_label,471
qwen14b,multi_label_classification,invalid_json_or_extra_text,11
qwen14b,multi_label_classification,wrong_label_set,6
qwen14b,multi_label_classification,schema_violation,4
qwen14b,rule_based_transformation,transformation_mismatch,452
qwen14b,rule_based_transformation,invalid_json_or_extra_text,21
qwen14b,rule_based_transformation,schema_violation,14
qwen14b,single_label_classification,invalid_label,50
qwen14b,single_label_classification,invalid_json_or_extra_text,12
qwen14b,single_label_classification,schema_violation,9
qwen7b,extractive_qa,span_inflation,193
qwen7b,extractive_qa,empty_answer,29
qwen7b,extractive_qa,wrong_span,9
qwen7b,extractive_qa,schema_violation,8
qwen7b,extractive_qa,invalid_json_or_extra_text,4
qwen7b,extractive_qa,case_or_surface_mismatch,1
qwen7b,information_extraction,entity_or_field_mismatch,44
qwen7b,information_extraction,schema_violation,20
qwen7b,information_extraction,invalid_json_or_extra_text,17
qwen7b,multi_label_classification,invalid_label,452
qwen7b,multi_label_classification,wrong_label_set,23
qwen7b,multi_label_classification,schema_violation,7
qwen7b,multi_label_classification,invalid_json_or_extra_text,6
qwen7b,rule_based_transformation,transformation_mismatch,450
qwen7b,rule_based_transformation,invalid_json_or_extra_text,51
qwen7b,rule_based_transformation,schema_violation,11
qwen7b,single_label_classification,invalid_label,58
qwen7b,single_label_classification,schema_violation,12
qwen7b,single_label_classification,invalid_json_or_extra_text,2
