model,task_name,regime,accuracy,parse_failure_rate,n
gemma,extractive_qa,bounded,0.9225,0.025,400
gemma,extractive_qa,unbounded,0.925,0.03,400
gemma,information_extraction,bounded,0.8975,0.0925,400
gemma,information_extraction,unbounded,0.9325,0.06,400
gemma,multi_label_classification,bounded,0.5225,0.4725,400
gemma,multi_label_classification,unbounded,0.43,0.5575,400
gemma,rule_based_transformation,bounded,0.5325,0.0475,400
gemma,rule_based_transformation,unbounded,0.4125,0.055,400
gemma,single_label_classification,bounded,0.9225,0.0775,400
gemma,single_label_classification,unbounded,0.9125,0.0875,400
llama,extractive_qa,bounded,0.7475,0.0175,400
llama,extractive_qa,unbounded,0.7475,0.0175,400
llama,information_extraction,bounded,0.825,0.0425,400
llama,information_extraction,unbounded,0.86,0.0575,400
llama,multi_label_classification,bounded,0.4175,0.5475,400
llama,multi_label_classification,unbounded,0.3975,0.6025,400
llama,rule_based_transformation,bounded,0.2225,0.0375,400
llama,rule_based_transformation,unbounded,0.2625,0.075,400
llama,single_label_classification,bounded,0.94,0.06,400
llama,single_label_classification,unbounded,0.93,0.07,400
mistral_base,extractive_qa,bounded,0.0,1.0,400
mistral_base,extractive_qa,unbounded,0.0,1.0,400
mistral_base,information_extraction,bounded,0.0,1.0,400
mistral_base,information_extraction,unbounded,0.0,1.0,400
mistral_base,multi_label_classification,bounded,0.0,1.0,400
mistral_base,multi_label_classification,unbounded,0.0,1.0,400
mistral_base,rule_based_transformation,bounded,0.0,1.0,400
mistral_base,rule_based_transformation,unbounded,0.0,0.995,400
mistral_base,single_label_classification,bounded,0.0,1.0,400
mistral_base,single_label_classification,unbounded,0.0,1.0,400
mistral_instruct,extractive_qa,bounded,0.7675,0.0525,400
mistral_instruct,extractive_qa,unbounded,0.785,0.06,400
mistral_instruct,information_extraction,bounded,0.7975,0.1775,400
mistral_instruct,information_extraction,unbounded,0.8025,0.18,400
mistral_instruct,multi_label_classification,bounded,0.22,0.7525,400
mistral_instruct,multi_label_classification,unbounded,0.16,0.82,400
mistral_instruct,rule_based_transformation,bounded,0.25,0.0775,400
mistral_instruct,rule_based_transformation,unbounded,0.155,0.0725,400
mistral_instruct,single_label_classification,bounded,0.865,0.135,400
mistral_instruct,single_label_classification,unbounded,0.8775,0.1225,400
qwen14b,extractive_qa,bounded,0.6775,0.0325,400
qwen14b,extractive_qa,unbounded,0.7075,0.0475,400
qwen14b,information_extraction,bounded,0.9125,0.045,400
qwen14b,information_extraction,unbounded,0.925,0.0475,400
qwen14b,multi_label_classification,bounded,0.4475,0.5425,400
qwen14b,multi_label_classification,unbounded,0.3225,0.6725,400
qwen14b,rule_based_transformation,bounded,0.445,0.05,400
qwen14b,rule_based_transformation,unbounded,0.3375,0.0375,400
qwen14b,single_label_classification,bounded,0.9275,0.0725,400
qwen14b,single_label_classification,unbounded,0.895,0.105,400
qwen7b,extractive_qa,bounded,0.705,0.01,400
qwen7b,extractive_qa,unbounded,0.685,0.02,400
qwen7b,information_extraction,bounded,0.9,0.0575,400
qwen7b,information_extraction,unbounded,0.8975,0.035,400
qwen7b,multi_label_classification,bounded,0.4375,0.51,400
qwen7b,multi_label_classification,unbounded,0.3425,0.6525,400
qwen7b,rule_based_transformation,bounded,0.41,0.0975,400
qwen7b,rule_based_transformation,unbounded,0.31,0.0575,400
qwen7b,single_label_classification,bounded,0.9275,0.0725,400
qwen7b,single_label_classification,unbounded,0.8925,0.1075,400
