model,distraction_type,suggested_failure_mode,count
gemma,clean,invalid_label,43
gemma,clean,transformation_mismatch,43
gemma,clean,span_inflation,5
gemma,conflicting_instruction,invalid_json_or_extra_text,136
gemma,conflicting_instruction,transformation_mismatch,44
gemma,conflicting_instruction,invalid_label,40
gemma,conflicting_instruction,schema_violation,16
gemma,conflicting_instruction,span_inflation,4
gemma,conflicting_instruction,wrong_label_set,1
gemma,instruction_in_the_middle,invalid_label,69
gemma,instruction_in_the_middle,transformation_mismatch,56
gemma,instruction_in_the_middle,span_inflation,5
gemma,instruction_in_the_middle,entity_or_field_mismatch,4
gemma,instruction_in_the_middle,invalid_json_or_extra_text,2
gemma,instruction_in_the_middle,wrong_label_set,2
gemma,irrelevant_prefix,invalid_label,53
gemma,irrelevant_prefix,transformation_mismatch,45
gemma,irrelevant_prefix,span_inflation,4
gemma,irrelevant_prefix,entity_or_field_mismatch,2
gemma,irrelevant_suffix,invalid_label,64
gemma,irrelevant_suffix,transformation_mismatch,58
gemma,irrelevant_suffix,span_inflation,4
gemma,irrelevant_suffix,schema_violation,2
gemma,irrelevant_suffix,wrong_label_set,2
gemma,irrelevant_suffix,entity_or_field_mismatch,1
gemma,length_stress,invalid_label,58
gemma,length_stress,transformation_mismatch,41
gemma,length_stress,span_inflation,4
gemma,length_stress,invalid_json_or_extra_text,2
gemma,length_stress,wrong_label_set,1
gemma,negation_distraction,transformation_mismatch,49
gemma,negation_distraction,invalid_label,44
gemma,negation_distraction,span_inflation,5
gemma,negation_distraction,wrong_label_set,1
gemma,style_distraction,invalid_label,47
gemma,style_distraction,transformation_mismatch,45
gemma,style_distraction,invalid_json_or_extra_text,26
gemma,style_distraction,span_inflation,8
llama,clean,transformation_mismatch,69
llama,clean,invalid_label,59
llama,clean,span_inflation,21
llama,clean,entity_or_field_mismatch,10
llama,conflicting_instruction,transformation_mismatch,55
llama,conflicting_instruction,schema_violation,52
llama,conflicting_instruction,invalid_label,49
llama,conflicting_instruction,span_inflation,20
llama,conflicting_instruction,invalid_json_or_extra_text,16
llama,conflicting_instruction,entity_or_field_mismatch,10
llama,conflicting_instruction,wrong_label_set,2
llama,instruction_in_the_middle,invalid_label,82
llama,instruction_in_the_middle,transformation_mismatch,80
llama,instruction_in_the_middle,span_inflation,24
llama,instruction_in_the_middle,entity_or_field_mismatch,12
llama,instruction_in_the_middle,invalid_json_or_extra_text,8
llama,instruction_in_the_middle,wrong_label_set,4
llama,irrelevant_prefix,transformation_mismatch,74
llama,irrelevant_prefix,invalid_label,66
llama,irrelevant_prefix,span_inflation,23
llama,irrelevant_prefix,entity_or_field_mismatch,13
llama,irrelevant_prefix,wrong_label_set,2
llama,irrelevant_prefix,invalid_json_or_extra_text,1
llama,irrelevant_suffix,transformation_mismatch,82
llama,irrelevant_suffix,invalid_label,63
llama,irrelevant_suffix,span_inflation,19
llama,irrelevant_suffix,entity_or_field_mismatch,11
llama,irrelevant_suffix,wrong_label_set,2
llama,length_stress,invalid_label,76
llama,length_stress,transformation_mismatch,70
llama,length_stress,span_inflation,34
llama,length_stress,entity_or_field_mismatch,13
