model,distraction_type,qa_failure_category,count
gemma,clean,strict_correct,95
gemma,clean,span_boundary_near_miss,5
gemma,conflicting_instruction,strict_correct,75
gemma,conflicting_instruction,invalid_json_or_extra_text,19
gemma,conflicting_instruction,span_boundary_near_miss,4
gemma,conflicting_instruction,schema_violation,2
gemma,instruction_in_the_middle,strict_correct,95
gemma,instruction_in_the_middle,span_boundary_near_miss,5
gemma,irrelevant_prefix,strict_correct,96
gemma,irrelevant_prefix,span_boundary_near_miss,4
gemma,irrelevant_suffix,strict_correct,96
gemma,irrelevant_suffix,span_boundary_near_miss,4
gemma,length_stress,strict_correct,96
gemma,length_stress,span_boundary_near_miss,4
gemma,negation_distraction,strict_correct,95
gemma,negation_distraction,span_boundary_near_miss,5
gemma,style_distraction,strict_correct,91
gemma,style_distraction,span_boundary_near_miss,8
gemma,style_distraction,invalid_json_or_extra_text,1
llama,clean,strict_correct,79
llama,clean,span_boundary_near_miss,16
llama,clean,span_inflation_contains_gold,5
llama,conflicting_instruction,strict_correct,71
llama,conflicting_instruction,span_boundary_near_miss,16
llama,conflicting_instruction,schema_violation,9
llama,conflicting_instruction,span_inflation_contains_gold,4
llama,instruction_in_the_middle,strict_correct,76
llama,instruction_in_the_middle,span_boundary_near_miss,16
llama,instruction_in_the_middle,span_inflation_contains_gold,8
llama,irrelevant_prefix,strict_correct,77
llama,irrelevant_prefix,span_boundary_near_miss,18
llama,irrelevant_prefix,span_inflation_contains_gold,5
llama,irrelevant_suffix,strict_correct,81
llama,irrelevant_suffix,span_boundary_near_miss,17
llama,irrelevant_suffix,span_inflation_contains_gold,2
llama,length_stress,strict_correct,66
llama,length_stress,span_boundary_near_miss,17
llama,length_stress,span_inflation_contains_gold,17
llama,negation_distraction,strict_correct,84
llama,negation_distraction,span_boundary_near_miss,12
llama,negation_distraction,span_inflation_contains_gold,4
llama,style_distraction,strict_correct,64
llama,style_distraction,span_boundary_near_miss,23
llama,style_distraction,span_inflation_contains_gold,7
llama,style_distraction,invalid_json_or_extra_text,5
llama,style_distraction,wrong_span,1
mistral_base,clean,invalid_json_or_extra_text,97
mistral_base,clean,parse_failure_empty_output,3
mistral_base,conflicting_instruction,invalid_json_or_extra_text,96
mistral_base,conflicting_instruction,parse_failure_empty_output,4
mistral_base,instruction_in_the_middle,invalid_json_or_extra_text,100
mistral_base,irrelevant_prefix,invalid_json_or_extra_text,97
mistral_base,irrelevant_prefix,parse_failure_empty_output,3
mistral_base,irrelevant_suffix,invalid_json_or_extra_text,97
mistral_base,irrelevant_suffix,parse_failure_empty_output,3
mistral_base,length_stress,invalid_json_or_extra_text,97
mistral_base,length_stress,parse_failure_empty_output,3
mistral_base,negation_distraction,invalid_json_or_extra_text,100
mistral_base,style_distraction,invalid_json_or_extra_text,100
mistral_instruct,clean,strict_correct,94
mistral_instruct,clean,span_inflation_contains_gold,3
mistral_instruct,clean,wrong_span,2
mistral_instruct,clean,span_boundary_near_miss,1
mistral_instruct,conflicting_instruction,strict_correct,53
mistral_instruct,conflicting_instruction,invalid_json_or_extra_text,27
mistral_instruct,conflicting_instruction,span_inflation_contains_gold,10
mistral_instruct,conflicting_instruction,schema_violation,7
mistral_instruct,conflicting_instruction,wrong_span,3
mistral_instruct,instruction_in_the_middle,strict_correct,88
mistral_instruct,instruction_in_the_middle,span_inflation_contains_gold,7
mistral_instruct,instruction_in_the_middle,wrong_span,3
mistral_instruct,instruction_in_the_middle,span_boundary_near_miss,2
mistral_instruct,irrelevant_prefix,strict_correct,91
mistral_instruct,irrelevant_prefix,span_inflation_contains_gold,5
mistral_instruct,irrelevant_prefix,span_boundary_near_miss,2
mistral_instruct,irrelevant_prefix,wrong_span,2
