level,group,num_examples,num_correct,accuracy,num_parse_failures,parse_failure_rate,top_error_code,top_error_count
overall,all,4000,2272,0.568000,980,0.245000,none,2272
task,extractive_qa,800,621,0.776250,45,0.056250,none,621
task,information_extraction,800,640,0.800000,143,0.178750,none,640
task,multi_label_classification,800,152,0.190000,629,0.786250,invalid_label,524
task,rule_based_transformation,800,162,0.202500,60,0.075000,wrong_answer,578
task,single_label_classification,800,697,0.871250,103,0.128750,none,697
regime,bounded,2000,1160,0.580000,478,0.239000,none,1160
regime,unbounded,2000,1112,0.556000,502,0.251000,none,1112
distraction_type,clean,500,341,0.682000,70,0.140000,none,341
distraction_type,conflicting_instruction,500,179,0.358000,259,0.518000,none,179
distraction_type,instruction_in_the_middle,500,317,0.634000,92,0.184000,none,317
distraction_type,irrelevant_prefix,500,340,0.680000,79,0.158000,none,340
distraction_type,irrelevant_suffix,500,302,0.604000,101,0.202000,none,302
distraction_type,length_stress,500,337,0.674000,83,0.166000,none,337
distraction_type,negation_distraction,500,338,0.676000,69,0.138000,none,338
distraction_type,style_distraction,500,118,0.236000,227,0.454000,invalid_json,178
task__regime,extractive_qa__bounded,400,307,0.767500,21,0.052500,none,307
task__regime,extractive_qa__unbounded,400,314,0.785000,24,0.060000,none,314
task__regime,information_extraction__bounded,400,319,0.797500,71,0.177500,none,319
task__regime,information_extraction__unbounded,400,321,0.802500,72,0.180000,none,321
task__regime,multi_label_classification__bounded,400,88,0.220000,301,0.752500,invalid_label,250
task__regime,multi_label_classification__unbounded,400,64,0.160000,328,0.820000,invalid_label,274
task__regime,rule_based_transformation__bounded,400,100,0.250000,31,0.077500,wrong_answer,269
task__regime,rule_based_transformation__unbounded,400,62,0.155000,29,0.072500,wrong_answer,309
task__regime,single_label_classification__bounded,400,346,0.865000,54,0.135000,none,346
task__regime,single_label_classification__unbounded,400,351,0.877500,49,0.122500,none,351
task__distraction_type,extractive_qa__clean,100,94,0.940000,0,0.000000,none,94
task__distraction_type,extractive_qa__conflicting_instruction,100,53,0.530000,34,0.340000,none,53
task__distraction_type,extractive_qa__instruction_in_the_middle,100,88,0.880000,0,0.000000,none,88
task__distraction_type,extractive_qa__irrelevant_prefix,100,91,0.910000,0,0.000000,none,91
task__distraction_type,extractive_qa__irrelevant_suffix,100,90,0.900000,0,0.000000,none,90
task__distraction_type,extractive_qa__length_stress,100,91,0.910000,0,0.000000,none,91
task__distraction_type,extractive_qa__negation_distraction,100,89,0.890000,0,0.000000,none,89
task__distraction_type,extractive_qa__style_distraction,100,25,0.250000,11,0.110000,wrong_answer,64
task__distraction_type,information_extraction__clean,100,99,0.990000,0,0.000000,none,99
task__distraction_type,information_extraction__conflicting_instruction,100,36,0.360000,64,0.640000,invalid_json,49
task__distraction_type,information_extraction__instruction_in_the_middle,100,97,0.970000,0,0.000000,none,97
task__distraction_type,information_extraction__irrelevant_prefix,100,100,1.000000,0,0.000000,none,100
task__distraction_type,information_extraction__irrelevant_suffix,100,94,0.940000,0,0.000000,none,94
task__distraction_type,information_extraction__length_stress,100,99,0.990000,1,0.010000,none,99
task__distraction_type,information_extraction__negation_distraction,100,99,0.990000,0,0.000000,none,99
task__distraction_type,information_extraction__style_distraction,100,16,0.160000,78,0.780000,invalid_json,77
task__distraction_type,multi_label_classification__clean,100,25,0.250000,66,0.660000,invalid_label,66
task__distraction_type,multi_label_classification__conflicting_instruction,100,16,0.160000,84,0.840000,invalid_label,39
task__distraction_type,multi_label_classification__instruction_in_the_middle,100,15,0.150000,85,0.850000,invalid_label,84
task__distraction_type,multi_label_classification__irrelevant_prefix,100,28,0.280000,72,0.720000,invalid_label,71
task__distraction_type,multi_label_classification__irrelevant_suffix,100,7,0.070000,92,0.920000,invalid_label,91
task__distraction_type,multi_label_classification__length_stress,100,22,0.220000,78,0.780000,invalid_label,78
task__distraction_type,multi_label_classification__negation_distraction,100,26,0.260000,67,0.670000,invalid_label,67
task__distraction_type,multi_label_classification__style_distraction,100,13,0.130000,85,0.850000,invalid_json,57
task__distraction_type,rule_based_transformation__clean,100,25,0.250000,2,0.020000,wrong_answer,73
task__distraction_type,rule_based_transformation__conflicting_instruction,100,12,0.120000,39,0.390000,wrong_answer,49
task__distraction_type,rule_based_transformation__instruction_in_the_middle,100,23,0.230000,1,0.010000,wrong_answer,76
task__distraction_type,rule_based_transformation__irrelevant_prefix,100,25,0.250000,3,0.030000,wrong_answer,72
task__distraction_type,rule_based_transformation__irrelevant_suffix,100,17,0.170000,3,0.030000,wrong_answer,80
task__distraction_type,rule_based_transformation__length_stress,100,27,0.270000,2,0.020000,wrong_answer,71
task__distraction_type,rule_based_transformation__negation_distraction,100,25,0.250000,1,0.010000,wrong_answer,74
task__distraction_type,rule_based_transformation__style_distraction,100,8,0.080000,9,0.090000,wrong_answer,83
task__distraction_type,single_label_classification__clean,100,98,0.980000,2,0.020000,none,98
task__distraction_type,single_label_classification__conflicting_instruction,100,62,0.620000,38,0.380000,none,62
task__distraction_type,single_label_classification__instruction_in_the_middle,100,94,0.940000,6,0.060000,none,94
task__distraction_type,single_label_classification__irrelevant_prefix,100,96,0.960000,4,0.040000,none,96
task__distraction_type,single_label_classification__irrelevant_suffix,100,94,0.940000,6,0.060000,none,94
task__distraction_type,single_label_classification__length_stress,100,98,0.980000,2,0.020000,none,98
task__distraction_type,single_label_classification__negation_distraction,100,99,0.990000,1,0.010000,none,99
task__distraction_type,single_label_classification__style_distraction,100,56,0.560000,44,0.440000,none,56
