model,prompt_id,regime,distraction_type,distraction_subtype,qa_failure_category,gold_short,pred_short,qa_gold_normalized,qa_pred_normalized,raw_output_short
gemma,qa_203__unbounded__conflicting_instruction,unbounded,conflicting_instruction,conflicting_format_override,invalid_json_or_extra_text,BlueRiver Health,,blueriver health,,"* {""answer"": ""BlueRiver Health""}"
gemma,qa_240__unbounded__conflicting_instruction,unbounded,conflicting_instruction,conflicting_output_mode,invalid_json_or_extra_text,fitness watch,,fitness watch,,"{""answer"": ""fitness watch""} \n\nThe answer is found in the sentence: ""but the briefing says Summit Retail Systems officially introduced the fitness watch on 2025-04-30 after the press session in Milan."""
gemma,qa_236__bounded__conflicting_instruction,bounded,conflicting_instruction,conflicting_task_substitution,invalid_json_or_extra_text,Alice Smith,,alice smith,,"Alice Smith stated that the Berlin meeting would begin on January 15, 2024, contrary to a previous draft that indicated September 14, 2024."
gemma,qa_204__bounded__conflicting_instruction,bounded,conflicting_instruction,conflicting_output_mode,invalid_json_or_extra_text,BlueRiver Health,,blueriver health,,"```json\n{""answer"": ""BlueRiver Health""}\n```\n\nThe answer is ""BlueRiver Health"" because the passage states that ""BlueRiver Health will roll out the analytics dashboard on 2025-02-14""."
gemma,qa_220__bounded__conflicting_instruction,bounded,conflicting_instruction,late_override_note,invalid_json_or_extra_text,Madrid,,madrid,,DONE
gemma,qa_212__bounded__conflicting_instruction,bounded,conflicting_instruction,conflicting_task_substitution,invalid_json_or_extra_text,Urban Sports Media,,urban sports media,,"Urban Sports Media hosted a workshop in Lisbon on March 21, 2024."
gemma,qa_228__bounded__conflicting_instruction,bounded,conflicting_instruction,conflicting_output_mode,invalid_json_or_extra_text,Alice Smith,,alice smith,,"{""answer"": ""Alice Smith""} \n\nThe answer is found in the first sentence of the passage: ""The travel record notes that Alice Smith was expected on 2024-04-02, but the confirmed arrival in Milan occurred on 2025-07-12."""
gemma,qa_208__bounded__conflicting_instruction,bounded,conflicting_instruction,late_override_note,invalid_json_or_extra_text,Urban Sports Media,,urban sports media,,DONE
gemma,qa_244__bounded__conflicting_instruction,bounded,conflicting_instruction,late_override_note,invalid_json_or_extra_text,budget phone,,budget phone,,DONE
gemma,qa_240__bounded__conflicting_instruction,bounded,conflicting_instruction,conflicting_output_mode,invalid_json_or_extra_text,fitness watch,,fitness watch,,"{""answer"": ""fitness watch""} \n\nThe answer is ""fitness watch"" because the passage states that Summit Retail Systems officially introduced a fitness watch on April 30, 2025."
gemma,qa_237__unbounded__conflicting_instruction,unbounded,conflicting_instruction,conflicting_task_substitution,schema_violation,Alice Smith,,alice smith,,"{""topic"": ""Meeting Schedule Change""}"
gemma,qa_225__unbounded__conflicting_instruction,unbounded,conflicting_instruction,conflicting_task_substitution,schema_violation,Lisbon,,lisbon,,"{""topic"": ""Travel""}"
llama,qa_212__unbounded__style_distraction,unbounded,style_distraction,helpdesk_friendly,invalid_json_or_extra_text,Urban Sports Media,,urban sports media,,"I'd be happy to help you find the answer to your question. \n\n{""answer"": ""Urban Sports Media""}"
llama,qa_232__unbounded__style_distraction,unbounded,style_distraction,helpdesk_friendly,invalid_json_or_extra_text,Alice Smith,,alice smith,,"""Alice Smith had a confirmed arrival in Rome. \n\n{""answer"": ""Alice Smith was expected on 2024-01-22, but the confirmed arrival in Rome occurred on 2025-04-30.""}"
llama,qa_222__bounded__style_distraction,bounded,style_distraction,helpdesk_friendly,invalid_json_or_extra_text,Madrid,,madrid,,"I'd be happy to help you find the answer to your question. \n\n{""answer"": ""Madrid""}"
llama,qa_212__bounded__style_distraction,bounded,style_distraction,helpdesk_friendly,invalid_json_or_extra_text,Urban Sports Media,,urban sports media,,"I'd be happy to help you find the answer to your question. \n\n{""answer"": ""Urban Sports Media""}"
llama,qa_222__unbounded__style_distraction,unbounded,style_distraction,helpdesk_friendly,invalid_json_or_extra_text,Madrid,,madrid,,"I'd be happy to help you with your question. \n\n{""answer"": ""Madrid""}"
llama,qa_238__bounded__conflicting_instruction,bounded,conflicting_instruction,conflicting_format_override,schema_violation,medical software,,medical software,,"{""status"": ""success"", ""content"": {""answer"": ""the medical software""}}"
llama,qa_202__unbounded__conflicting_instruction,unbounded,conflicting_instruction,conflicting_format_override,schema_violation,BlueRiver Health,,blueriver health,,"{""status"": ""success"", ""content"": {""answer"": ""BlueRiver Health""}}"
llama,qa_226__bounded__conflicting_instruction,bounded,conflicting_instruction,conflicting_format_override,schema_violation,Alice Smith,,alice smith,,"{""status"": ""success"", ""content"": {""answer"": ""Alice Smith""}}"
llama,qa_202__bounded__conflicting_instruction,bounded,conflicting_instruction,conflicting_format_override,schema_violation,BlueRiver Health,,blueriver health,,"{""status"": ""success"", ""content"": {""answer"": ""BlueRiver Health""}}"
llama,qa_238__unbounded__conflicting_instruction,unbounded,conflicting_instruction,conflicting_format_override,schema_violation,medical software,,medical software,,"{""status"": ""success"", ""content"": {""answer"": ""medical software""}}"
llama,qa_214__bounded__conflicting_instruction,bounded,conflicting_instruction,conflicting_format_override,schema_violation,Paris,,paris,,"{""status"": ""success"", ""content"": {""answer"": ""Paris""}}"
llama,qa_223__bounded__conflicting_instruction,bounded,conflicting_instruction,conflicting_json_request,schema_violation,Berlin,,berlin,,"[{""answer"": ""Berlin""}]"
llama,qa_214__unbounded__conflicting_instruction,unbounded,conflicting_instruction,conflicting_format_override,schema_violation,Paris,,paris,,"{""status"": ""success"", ""content"": {""answer"": ""Paris""}}"
llama,qa_226__unbounded__conflicting_instruction,unbounded,conflicting_instruction,conflicting_format_override,schema_violation,Alice Smith,,alice smith,,"{""status"": ""success"", ""content"": {""answer"": ""Alice Smith""}}"
llama,qa_228__unbounded__length_stress,unbounded,length_stress,email_thread_fragment,span_inflation_contains_gold,Alice Smith,"Alice Smith was expected on 2024-04-02, but the confirmed arrival in Milan occurred on 2025-07-12.",alice smith,alice smith was expected on 2024 04 02 but the confirmed arrival in milan occurred on 2025 07 12,"{""answer"": ""Alice Smith was expected on 2024-04-02, but the confirmed arrival in Milan occurred on 2025-07-12.""}"
llama,qa_235__bounded__length_stress,bounded,length_stress,policy_text_long,span_inflation_contains_gold,Alice Smith,"Alice Smith said the meeting in Madrid would start on 2024-03-21, even though an earlier draft listed 2025-02-28.",alice smith,alice smith said the meeting in madrid would start on 2024 03 21 even though an earlier draft listed 2025 02 28,"{""answer"": ""Alice Smith said the meeting in Madrid would start on 2024-03-21, even though an earlier draft listed 2025-02-28.""}"
llama,qa_247__bounded__instruction_in_the_middle,bounded,instruction_in_the_middle,middle_burial,span_inflation_contains_gold,solar battery,BlueRiver Health released the solar battery,solar battery,blueriver health released the solar battery,"{""answer"": ""BlueRiver Health released the solar battery""}"
llama,qa_226__bounded__clean,bounded,clean,,span_inflation_contains_gold,Alice Smith,"Alice Smith was expected on 2026-01-21, but the confirmed arrival in Athens occurred on 2024-09-05.",alice smith,alice smith was expected on 2026 01 21 but the confirmed arrival in athens occurred on 2024 09 05,"{""answer"": ""Alice Smith was expected on 2026-01-21, but the confirmed arrival in Athens occurred on 2024-09-05.""}"
llama,qa_239__bounded__irrelevant_suffix,bounded,irrelevant_suffix,short_suffix_noise,span_inflation_contains_gold,solar battery,Summit Retail Systems officially introduced the solar battery,solar battery,summit retail systems officially introduced the solar battery,"{""answer"": ""Summit Retail Systems officially introduced the solar battery""}"
llama,qa_207__unbounded__length_stress,unbounded,length_stress,email_thread_fragment,span_inflation_contains_gold,BlueRiver Health,BlueRiver Health will roll out the smart speaker on 2025-04-30 after testing in Madrid.,blueriver health,blueriver health will roll out the smart speaker on 2025 04 30 after testing in madrid,"{""answer"": ""BlueRiver Health will roll out the smart speaker on 2025-04-30 after testing in Madrid.""}"
llama,qa_227__bounded__clean,bounded,clean,,span_inflation_contains_gold,Alice Smith,"Alice Smith was expected on 2024-06-18, but the confirmed arrival in Paris occurred on 2025-10-03.",alice smith,alice smith was expected on 2024 06 18 but the confirmed arrival in paris occurred on 2025 10 03,"{""answer"": ""Alice Smith was expected on 2024-06-18, but the confirmed arrival in Paris occurred on 2025-10-03.""}"
llama,qa_248__bounded__length_stress,bounded,length_stress,email_thread_fragment,span_inflation_contains_gold,fitness watch,the fitness watch on 2024-06-10,fitness watch,fitness watch on 2024 06 10,"{""answer"": ""the fitness watch on 2024-06-10""}"
llama,qa_207__unbounded__instruction_in_the_middle,unbounded,instruction_in_the_middle,middle_burial,span_inflation_contains_gold,BlueRiver Health,BlueRiver Health will roll out the smart speaker on 2025-04-30 after testing in Madrid.,blueriver health,blueriver health will roll out the smart speaker on 2025 04 30 after testing in madrid,"{""answer"": ""BlueRiver Health will roll out the smart speaker on 2025-04-30 after testing in Madrid.""}"
llama,qa_232__unbounded__irrelevant_prefix,unbounded,irrelevant_prefix,short_prefix_noise,span_inflation_contains_gold,Alice Smith,"Alice Smith was expected on 2024-01-22, but the confirmed arrival in Rome occurred on 2025-04-30.",alice smith,alice smith was expected on 2024 01 22 but the confirmed arrival in rome occurred on 2025 04 30,"{""answer"": ""Alice Smith was expected on 2024-01-22, but the confirmed arrival in Rome occurred on 2025-04-30.""}"
llama,qa_226__bounded__style_distraction,bounded,style_distraction,elizabethan,wrong_span,Alice Smith,A final check-in was logged the following morning.,alice smith,final check in was logged the following morning,"{""answer"": ""A final check-in was logged the following morning.""}"
mistral_base,qa_238__bounded__irrelevant_prefix,bounded,irrelevant_prefix,short_prefix_noise,invalid_json_or_extra_text,medical software,,medical software,,"Output material\n\n<OUTPUT>\n{""answer"": ""Summit Retail Systems""}\n</OUTPUT>"
mistral_base,qa_237__unbounded__irrelevant_prefix,unbounded,irrelevant_prefix,short_prefix_noise,invalid_json_or_extra_text,Alice Smith,,alice smith,,Answer:\nAlice Smith
