model,distraction_type,accuracy,parse_failure_rate,n
gemma,clean,0.818,0.086,500
gemma,conflicting_instruction,0.518,0.384,500
gemma,instruction_in_the_middle,0.724,0.142,500
gemma,irrelevant_prefix,0.792,0.106,500
gemma,irrelevant_suffix,0.738,0.132,500
gemma,length_stress,0.788,0.12,500
gemma,negation_distraction,0.802,0.088,500
gemma,style_distraction,0.748,0.146,500
llama,clean,0.682,0.118,500
llama,conflicting_instruction,0.592,0.234,500
llama,instruction_in_the_middle,0.58,0.18,500
llama,irrelevant_prefix,0.642,0.134,500
llama,irrelevant_suffix,0.646,0.126,500
llama,length_stress,0.608,0.156,500
llama,negation_distraction,0.69,0.112,500
llama,style_distraction,0.64,0.162,500
mistral_base,clean,0.0,0.998,500
mistral_base,conflicting_instruction,0.0,1.0,500
mistral_base,instruction_in_the_middle,0.0,1.0,500
mistral_base,irrelevant_prefix,0.0,1.0,500
mistral_base,irrelevant_suffix,0.0,1.0,500
mistral_base,length_stress,0.0,0.998,500
mistral_base,negation_distraction,0.0,1.0,500
mistral_base,style_distraction,0.0,1.0,500
mistral_instruct,clean,0.682,0.14,500
mistral_instruct,conflicting_instruction,0.358,0.518,500
mistral_instruct,instruction_in_the_middle,0.634,0.184,500
mistral_instruct,irrelevant_prefix,0.68,0.158,500
mistral_instruct,irrelevant_suffix,0.604,0.202,500
mistral_instruct,length_stress,0.674,0.166,500
mistral_instruct,negation_distraction,0.676,0.138,500
mistral_instruct,style_distraction,0.236,0.454,500
qwen14b,clean,0.734,0.124,500
qwen14b,conflicting_instruction,0.498,0.348,500
qwen14b,instruction_in_the_middle,0.664,0.162,500
qwen14b,irrelevant_prefix,0.698,0.142,500
qwen14b,irrelevant_suffix,0.668,0.154,500
qwen14b,length_stress,0.738,0.136,500
qwen14b,negation_distraction,0.738,0.124,500
qwen14b,style_distraction,0.54,0.132,500
qwen7b,clean,0.74,0.124,500
qwen7b,conflicting_instruction,0.544,0.292,500
qwen7b,instruction_in_the_middle,0.606,0.176,500
qwen7b,irrelevant_prefix,0.696,0.134,500
qwen7b,irrelevant_suffix,0.69,0.144,500
qwen7b,length_stress,0.7,0.136,500
qwen7b,negation_distraction,0.692,0.136,500
qwen7b,style_distraction,0.538,0.154,500
