model,model_display,qa_failure_category,count
gemma,Gemma-2-9B-it,strict_correct,739
gemma,Gemma-2-9B-it,article_case_punctuation_near_miss,39
gemma,Gemma-2-9B-it,invalid_json,20
gemma,Gemma-2-9B-it,missing_key,2
gemma,Gemma-2-9B-it,empty_answer,0
gemma,Gemma-2-9B-it,empty_output,0
gemma,Gemma-2-9B-it,extra_key,0
gemma,Gemma-2-9B-it,normalized_span_inflation_contains_gold,0
gemma,Gemma-2-9B-it,span_inflation_contains_gold,0
gemma,Gemma-2-9B-it,wrong_schema,0
gemma,Gemma-2-9B-it,wrong_span,0
gemma,Gemma-2-9B-it,wrong_type,0
gemma,Llama-3.1-8B-Instruct,article_case_punctuation_near_miss,0
gemma,Llama-3.1-8B-Instruct,empty_answer,0
gemma,Llama-3.1-8B-Instruct,empty_output,0
gemma,Llama-3.1-8B-Instruct,extra_key,0
gemma,Llama-3.1-8B-Instruct,invalid_json,0
gemma,Llama-3.1-8B-Instruct,missing_key,0
gemma,Llama-3.1-8B-Instruct,normalized_span_inflation_contains_gold,0
gemma,Llama-3.1-8B-Instruct,span_inflation_contains_gold,0
gemma,Llama-3.1-8B-Instruct,strict_correct,0
gemma,Llama-3.1-8B-Instruct,wrong_schema,0
gemma,Llama-3.1-8B-Instruct,wrong_span,0
gemma,Llama-3.1-8B-Instruct,wrong_type,0
gemma,Mistral-7B-Instruct-v0.3,article_case_punctuation_near_miss,0
gemma,Mistral-7B-Instruct-v0.3,empty_answer,0
gemma,Mistral-7B-Instruct-v0.3,empty_output,0
gemma,Mistral-7B-Instruct-v0.3,extra_key,0
gemma,Mistral-7B-Instruct-v0.3,invalid_json,0
gemma,Mistral-7B-Instruct-v0.3,missing_key,0
gemma,Mistral-7B-Instruct-v0.3,normalized_span_inflation_contains_gold,0
gemma,Mistral-7B-Instruct-v0.3,span_inflation_contains_gold,0
gemma,Mistral-7B-Instruct-v0.3,strict_correct,0
gemma,Mistral-7B-Instruct-v0.3,wrong_schema,0
gemma,Mistral-7B-Instruct-v0.3,wrong_span,0
gemma,Mistral-7B-Instruct-v0.3,wrong_type,0
gemma,Mistral-7B-v0.3 Base,article_case_punctuation_near_miss,0
gemma,Mistral-7B-v0.3 Base,empty_answer,0
gemma,Mistral-7B-v0.3 Base,empty_output,0
gemma,Mistral-7B-v0.3 Base,extra_key,0
gemma,Mistral-7B-v0.3 Base,invalid_json,0
gemma,Mistral-7B-v0.3 Base,missing_key,0
gemma,Mistral-7B-v0.3 Base,normalized_span_inflation_contains_gold,0
gemma,Mistral-7B-v0.3 Base,span_inflation_contains_gold,0
gemma,Mistral-7B-v0.3 Base,strict_correct,0
gemma,Mistral-7B-v0.3 Base,wrong_schema,0
gemma,Mistral-7B-v0.3 Base,wrong_span,0
gemma,Mistral-7B-v0.3 Base,wrong_type,0
gemma,Qwen2.5-14B-Instruct,article_case_punctuation_near_miss,0
gemma,Qwen2.5-14B-Instruct,empty_answer,0
gemma,Qwen2.5-14B-Instruct,empty_output,0
gemma,Qwen2.5-14B-Instruct,extra_key,0
gemma,Qwen2.5-14B-Instruct,invalid_json,0
gemma,Qwen2.5-14B-Instruct,missing_key,0
gemma,Qwen2.5-14B-Instruct,normalized_span_inflation_contains_gold,0
gemma,Qwen2.5-14B-Instruct,span_inflation_contains_gold,0
gemma,Qwen2.5-14B-Instruct,strict_correct,0
gemma,Qwen2.5-14B-Instruct,wrong_schema,0
gemma,Qwen2.5-14B-Instruct,wrong_span,0
gemma,Qwen2.5-14B-Instruct,wrong_type,0
gemma,Qwen2.5-7B-Instruct,article_case_punctuation_near_miss,0
gemma,Qwen2.5-7B-Instruct,empty_answer,0
gemma,Qwen2.5-7B-Instruct,empty_output,0
gemma,Qwen2.5-7B-Instruct,extra_key,0
gemma,Qwen2.5-7B-Instruct,invalid_json,0
gemma,Qwen2.5-7B-Instruct,missing_key,0
gemma,Qwen2.5-7B-Instruct,normalized_span_inflation_contains_gold,0
gemma,Qwen2.5-7B-Instruct,span_inflation_contains_gold,0
gemma,Qwen2.5-7B-Instruct,strict_correct,0
gemma,Qwen2.5-7B-Instruct,wrong_schema,0
gemma,Qwen2.5-7B-Instruct,wrong_span,0
gemma,Qwen2.5-7B-Instruct,wrong_type,0
qwen14b,Qwen2.5-14B-Instruct,strict_correct,554
qwen14b,Qwen2.5-14B-Instruct,article_case_punctuation_near_miss,135
qwen14b,Qwen2.5-14B-Instruct,span_inflation_contains_gold,76
qwen14b,Qwen2.5-14B-Instruct,invalid_json,24
qwen14b,Qwen2.5-14B-Instruct,missing_key,4
qwen14b,Qwen2.5-14B-Instruct,wrong_type,4
qwen14b,Qwen2.5-14B-Instruct,wrong_span,3
qwen14b,Gemma-2-9B-it,article_case_punctuation_near_miss,0
qwen14b,Gemma-2-9B-it,empty_answer,0
qwen14b,Gemma-2-9B-it,empty_output,0
qwen14b,Gemma-2-9B-it,extra_key,0
qwen14b,Gemma-2-9B-it,invalid_json,0
qwen14b,Gemma-2-9B-it,missing_key,0
qwen14b,Gemma-2-9B-it,normalized_span_inflation_contains_gold,0
qwen14b,Gemma-2-9B-it,span_inflation_contains_gold,0
qwen14b,Gemma-2-9B-it,strict_correct,0
qwen14b,Gemma-2-9B-it,wrong_schema,0
qwen14b,Gemma-2-9B-it,wrong_span,0
qwen14b,Gemma-2-9B-it,wrong_type,0
qwen14b,Llama-3.1-8B-Instruct,article_case_punctuation_near_miss,0
qwen14b,Llama-3.1-8B-Instruct,empty_answer,0
qwen14b,Llama-3.1-8B-Instruct,empty_output,0
qwen14b,Llama-3.1-8B-Instruct,extra_key,0
qwen14b,Llama-3.1-8B-Instruct,invalid_json,0
qwen14b,Llama-3.1-8B-Instruct,missing_key,0
qwen14b,Llama-3.1-8B-Instruct,normalized_span_inflation_contains_gold,0
qwen14b,Llama-3.1-8B-Instruct,span_inflation_contains_gold,0
qwen14b,Llama-3.1-8B-Instruct,strict_correct,0
qwen14b,Llama-3.1-8B-Instruct,wrong_schema,0
qwen14b,Llama-3.1-8B-Instruct,wrong_span,0
qwen14b,Llama-3.1-8B-Instruct,wrong_type,0
qwen14b,Mistral-7B-Instruct-v0.3,article_case_punctuation_near_miss,0
qwen14b,Mistral-7B-Instruct-v0.3,empty_answer,0
qwen14b,Mistral-7B-Instruct-v0.3,empty_output,0
qwen14b,Mistral-7B-Instruct-v0.3,extra_key,0
qwen14b,Mistral-7B-Instruct-v0.3,invalid_json,0
qwen14b,Mistral-7B-Instruct-v0.3,missing_key,0
qwen14b,Mistral-7B-Instruct-v0.3,normalized_span_inflation_contains_gold,0
qwen14b,Mistral-7B-Instruct-v0.3,span_inflation_contains_gold,0
qwen14b,Mistral-7B-Instruct-v0.3,strict_correct,0
qwen14b,Mistral-7B-Instruct-v0.3,wrong_schema,0
qwen14b,Mistral-7B-Instruct-v0.3,wrong_span,0
qwen14b,Mistral-7B-Instruct-v0.3,wrong_type,0
qwen14b,Mistral-7B-v0.3 Base,article_case_punctuation_near_miss,0
qwen14b,Mistral-7B-v0.3 Base,empty_answer,0
qwen14b,Mistral-7B-v0.3 Base,empty_output,0
qwen14b,Mistral-7B-v0.3 Base,extra_key,0
qwen14b,Mistral-7B-v0.3 Base,invalid_json,0
qwen14b,Mistral-7B-v0.3 Base,missing_key,0
qwen14b,Mistral-7B-v0.3 Base,normalized_span_inflation_contains_gold,0
qwen14b,Mistral-7B-v0.3 Base,span_inflation_contains_gold,0
qwen14b,Mistral-7B-v0.3 Base,strict_correct,0
qwen14b,Mistral-7B-v0.3 Base,wrong_schema,0
qwen14b,Mistral-7B-v0.3 Base,wrong_span,0
qwen14b,Mistral-7B-v0.3 Base,wrong_type,0
qwen14b,Qwen2.5-14B-Instruct,empty_answer,0
qwen14b,Qwen2.5-14B-Instruct,empty_output,0
qwen14b,Qwen2.5-14B-Instruct,extra_key,0
qwen14b,Qwen2.5-14B-Instruct,normalized_span_inflation_contains_gold,0
qwen14b,Qwen2.5-14B-Instruct,wrong_schema,0
qwen14b,Qwen2.5-7B-Instruct,article_case_punctuation_near_miss,0
qwen14b,Qwen2.5-7B-Instruct,empty_answer,0
qwen14b,Qwen2.5-7B-Instruct,empty_output,0
qwen14b,Qwen2.5-7B-Instruct,extra_key,0
qwen14b,Qwen2.5-7B-Instruct,invalid_json,0
qwen14b,Qwen2.5-7B-Instruct,missing_key,0
qwen14b,Qwen2.5-7B-Instruct,normalized_span_inflation_contains_gold,0
qwen14b,Qwen2.5-7B-Instruct,span_inflation_contains_gold,0
qwen14b,Qwen2.5-7B-Instruct,strict_correct,0
qwen14b,Qwen2.5-7B-Instruct,wrong_schema,0
qwen14b,Qwen2.5-7B-Instruct,wrong_span,0
qwen14b,Qwen2.5-7B-Instruct,wrong_type,0
qwen7b,Qwen2.5-7B-Instruct,strict_correct,556
qwen7b,Qwen2.5-7B-Instruct,article_case_punctuation_near_miss,109
qwen7b,Qwen2.5-7B-Instruct,span_inflation_contains_gold,85
qwen7b,Qwen2.5-7B-Instruct,empty_answer,29
qwen7b,Qwen2.5-7B-Instruct,wrong_span,7
qwen7b,Qwen2.5-7B-Instruct,wrong_schema,6
qwen7b,Qwen2.5-7B-Instruct,invalid_json,4
qwen7b,Qwen2.5-7B-Instruct,missing_key,2
qwen7b,Qwen2.5-7B-Instruct,normalized_span_inflation_contains_gold,2
qwen7b,Gemma-2-9B-it,article_case_punctuation_near_miss,0
qwen7b,Gemma-2-9B-it,empty_answer,0
qwen7b,Gemma-2-9B-it,empty_output,0
qwen7b,Gemma-2-9B-it,extra_key,0
qwen7b,Gemma-2-9B-it,invalid_json,0
qwen7b,Gemma-2-9B-it,missing_key,0
qwen7b,Gemma-2-9B-it,normalized_span_inflation_contains_gold,0
qwen7b,Gemma-2-9B-it,span_inflation_contains_gold,0
qwen7b,Gemma-2-9B-it,strict_correct,0
qwen7b,Gemma-2-9B-it,wrong_schema,0
qwen7b,Gemma-2-9B-it,wrong_span,0
qwen7b,Gemma-2-9B-it,wrong_type,0
