model,prompt_id,task_name,regime,distraction_type,distraction_subtype,gold_short,pred_short,qa_gold_normalized,qa_pred_normalized,raw_output_short
qwen7b,qa_202__bounded__length_stress,extractive_qa,bounded,length_stress,academic_prose_long,BlueRiver Health,Blueriver Health,blueriver health,blueriver health,"{""answer"": ""Blueriver Health""}"
qwen7b,qa_238__bounded__clean,extractive_qa,bounded,clean,,medical software,the medical software,medical software,medical software,"{""answer"": ""the medical software""}"
qwen7b,qa_238__bounded__irrelevant_prefix,extractive_qa,bounded,irrelevant_prefix,short_prefix_noise,medical software,the medical software,medical software,medical software,"{""answer"": ""the medical software""}"
qwen7b,qa_238__bounded__conflicting_instruction,extractive_qa,bounded,conflicting_instruction,conflicting_format_override,medical software,the medical software,medical software,medical software,"{""answer"": ""the medical software""}"
qwen7b,qa_238__bounded__length_stress,extractive_qa,bounded,length_stress,procedural_manual,medical software,the medical software,medical software,medical software,"{""answer"": ""the medical software""}"
qwen7b,qa_238__unbounded__irrelevant_prefix,extractive_qa,unbounded,irrelevant_prefix,short_prefix_noise,medical software,the medical software,medical software,medical software,"{""answer"": ""the medical software""}"
qwen7b,qa_239__bounded__irrelevant_prefix,extractive_qa,bounded,irrelevant_prefix,short_prefix_noise,solar battery,the solar battery,solar battery,solar battery,"{""answer"": ""the solar battery""}"
qwen7b,qa_239__bounded__conflicting_instruction,extractive_qa,bounded,conflicting_instruction,conflicting_format_override,solar battery,the solar battery,solar battery,solar battery,"{""answer"": ""the solar battery""}"
qwen7b,qa_239__unbounded__irrelevant_prefix,extractive_qa,unbounded,irrelevant_prefix,short_prefix_noise,solar battery,the solar battery,solar battery,solar battery,"{""answer"": ""the solar battery""}"
qwen7b,qa_239__unbounded__instruction_in_the_middle,extractive_qa,unbounded,instruction_in_the_middle,middle_burial,solar battery,the solar battery,solar battery,solar battery,"{""answer"": ""the solar battery""}"
qwen7b,qa_239__unbounded__conflicting_instruction,extractive_qa,unbounded,conflicting_instruction,conflicting_format_override,solar battery,the solar battery,solar battery,solar battery,"{""answer"": ""the solar battery""}"
qwen7b,qa_240__unbounded__style_distraction,extractive_qa,unbounded,style_distraction,formal_ceremonial,fitness watch,the fitness watch,fitness watch,fitness watch,"{""answer"": ""the fitness watch""}"
qwen7b,qa_241__bounded__clean,extractive_qa,bounded,clean,,security platform,the security platform,security platform,security platform,"{""answer"": ""the security platform""}"
qwen7b,qa_241__bounded__conflicting_instruction,extractive_qa,bounded,conflicting_instruction,conflicting_output_mode,security platform,the security platform,security platform,security platform,"{""answer"": ""the security platform""}"
qwen7b,qa_241__bounded__negation_distraction,extractive_qa,bounded,negation_distraction,paraphrastic_negation,security platform,the security platform,security platform,security platform,"{""answer"": ""the security platform""}"
qwen7b,qa_241__unbounded__clean,extractive_qa,unbounded,clean,,security platform,the security platform,security platform,security platform,"{""answer"": ""the security platform""}"
qwen7b,qa_241__unbounded__irrelevant_prefix,extractive_qa,unbounded,irrelevant_prefix,short_prefix_noise,security platform,the security platform,security platform,security platform,"{""answer"": ""the security platform""}"
qwen7b,qa_241__unbounded__irrelevant_suffix,extractive_qa,unbounded,irrelevant_suffix,short_suffix_noise,security platform,the security platform,security platform,security platform,"{""answer"": ""the security platform""}"
qwen7b,qa_241__unbounded__conflicting_instruction,extractive_qa,unbounded,conflicting_instruction,conflicting_output_mode,security platform,the security platform,security platform,security platform,"{""answer"": ""the security platform""}"
qwen7b,qa_241__unbounded__negation_distraction,extractive_qa,unbounded,negation_distraction,paraphrastic_negation,security platform,the security platform,security platform,security platform,"{""answer"": ""the security platform""}"
qwen7b,qa_241__unbounded__length_stress,extractive_qa,unbounded,length_stress,report_fragment,security platform,the security platform,security platform,security platform,"{""answer"": ""the security platform""}"
qwen7b,qa_242__bounded__clean,extractive_qa,bounded,clean,,analytics dashboard,the analytics dashboard,analytics dashboard,analytics dashboard,"{""answer"": ""the analytics dashboard""}"
qwen7b,qa_242__bounded__irrelevant_prefix,extractive_qa,bounded,irrelevant_prefix,short_prefix_noise,analytics dashboard,the analytics dashboard,analytics dashboard,analytics dashboard,"{""answer"": ""the analytics dashboard""}"
qwen7b,qa_242__bounded__conflicting_instruction,extractive_qa,bounded,conflicting_instruction,conflicting_summary_request,analytics dashboard,the analytics dashboard,analytics dashboard,analytics dashboard,"{""answer"": ""the analytics dashboard""}"
qwen7b,qa_242__bounded__style_distraction,extractive_qa,bounded,style_distraction,helpdesk_friendly,analytics dashboard,the analytics dashboard,analytics dashboard,analytics dashboard,"{""answer"": ""the analytics dashboard""}"
qwen7b,qa_242__unbounded__clean,extractive_qa,unbounded,clean,,analytics dashboard,the analytics dashboard,analytics dashboard,analytics dashboard,"{""answer"": ""the analytics dashboard""}"
qwen7b,qa_242__unbounded__irrelevant_prefix,extractive_qa,unbounded,irrelevant_prefix,short_prefix_noise,analytics dashboard,the analytics dashboard,analytics dashboard,analytics dashboard,"{""answer"": ""the analytics dashboard""}"
qwen7b,qa_242__unbounded__irrelevant_suffix,extractive_qa,unbounded,irrelevant_suffix,short_suffix_noise,analytics dashboard,the analytics dashboard,analytics dashboard,analytics dashboard,"{""answer"": ""the analytics dashboard""}"
qwen7b,qa_242__unbounded__instruction_in_the_middle,extractive_qa,unbounded,instruction_in_the_middle,middle_burial,analytics dashboard,the analytics dashboard,analytics dashboard,analytics dashboard,"{""answer"": ""the analytics dashboard""}"
qwen7b,qa_242__unbounded__conflicting_instruction,extractive_qa,unbounded,conflicting_instruction,conflicting_summary_request,analytics dashboard,the analytics dashboard,analytics dashboard,analytics dashboard,"{""answer"": ""the analytics dashboard""}"
qwen7b,qa_242__unbounded__negation_distraction,extractive_qa,unbounded,negation_distraction,partial_scope_negation,analytics dashboard,the analytics dashboard,analytics dashboard,analytics dashboard,"{""answer"": ""the analytics dashboard""}"
qwen7b,qa_242__unbounded__length_stress,extractive_qa,unbounded,length_stress,academic_prose_long,analytics dashboard,the analytics dashboard,analytics dashboard,analytics dashboard,"{""answer"": ""the analytics dashboard""}"
qwen7b,qa_243__bounded__clean,extractive_qa,bounded,clean,,robot vacuum,the robot vacuum,robot vacuum,robot vacuum,"{""answer"": ""the robot vacuum""}"
qwen7b,qa_243__bounded__irrelevant_prefix,extractive_qa,bounded,irrelevant_prefix,short_prefix_noise,robot vacuum,the robot vacuum,robot vacuum,robot vacuum,"{""answer"": ""the robot vacuum""}"
