level,group,num_examples,num_correct,accuracy,num_parse_failures,parse_failure_rate,top_error_code,top_error_count
overall,all,4000,2964,0.741000,602,0.150500,none,2964
task,extractive_qa,800,739,0.923750,22,0.027500,none,739
task,information_extraction,800,732,0.915000,61,0.076250,none,732
task,multi_label_classification,800,381,0.476250,412,0.515000,invalid_label,384
task,rule_based_transformation,800,378,0.472500,41,0.051250,wrong_answer,381
task,single_label_classification,800,734,0.917500,66,0.082500,none,734
regime,bounded,2000,1519,0.759500,286,0.143000,none,1519
regime,unbounded,2000,1445,0.722500,316,0.158000,none,1445
distraction_type,clean,500,409,0.818000,43,0.086000,none,409
distraction_type,conflicting_instruction,500,259,0.518000,192,0.384000,none,259
distraction_type,instruction_in_the_middle,500,362,0.724000,71,0.142000,none,362
distraction_type,irrelevant_prefix,500,396,0.792000,53,0.106000,none,396
distraction_type,irrelevant_suffix,500,369,0.738000,66,0.132000,none,369
distraction_type,length_stress,500,394,0.788000,60,0.120000,none,394
distraction_type,negation_distraction,500,401,0.802000,44,0.088000,none,401
distraction_type,style_distraction,500,374,0.748000,73,0.146000,none,374
task__regime,extractive_qa__bounded,400,369,0.922500,10,0.025000,none,369
task__regime,extractive_qa__unbounded,400,370,0.925000,12,0.030000,none,370
task__regime,information_extraction__bounded,400,359,0.897500,37,0.092500,none,359
task__regime,information_extraction__unbounded,400,373,0.932500,24,0.060000,none,373
task__regime,multi_label_classification__bounded,400,209,0.522500,189,0.472500,none,209
task__regime,multi_label_classification__unbounded,400,172,0.430000,223,0.557500,invalid_label,209
task__regime,rule_based_transformation__bounded,400,213,0.532500,19,0.047500,none,213
task__regime,rule_based_transformation__unbounded,400,165,0.412500,22,0.055000,wrong_answer,213
task__regime,single_label_classification__bounded,400,369,0.922500,31,0.077500,none,369
task__regime,single_label_classification__unbounded,400,365,0.912500,35,0.087500,none,365
task__distraction_type,extractive_qa__clean,100,95,0.950000,0,0.000000,none,95
task__distraction_type,extractive_qa__conflicting_instruction,100,75,0.750000,21,0.210000,none,75
task__distraction_type,extractive_qa__instruction_in_the_middle,100,95,0.950000,0,0.000000,none,95
task__distraction_type,extractive_qa__irrelevant_prefix,100,96,0.960000,0,0.000000,none,96
task__distraction_type,extractive_qa__irrelevant_suffix,100,96,0.960000,0,0.000000,none,96
task__distraction_type,extractive_qa__length_stress,100,96,0.960000,0,0.000000,none,96
task__distraction_type,extractive_qa__negation_distraction,100,95,0.950000,0,0.000000,none,95
task__distraction_type,extractive_qa__style_distraction,100,91,0.910000,1,0.010000,none,91
task__distraction_type,information_extraction__clean,100,100,1.000000,0,0.000000,none,100
task__distraction_type,information_extraction__conflicting_instruction,100,54,0.540000,46,0.460000,none,54
task__distraction_type,information_extraction__instruction_in_the_middle,100,96,0.960000,0,0.000000,none,96
task__distraction_type,information_extraction__irrelevant_prefix,100,98,0.980000,0,0.000000,none,98
task__distraction_type,information_extraction__irrelevant_suffix,100,97,0.970000,2,0.020000,none,97
task__distraction_type,information_extraction__length_stress,100,100,1.000000,0,0.000000,none,100
task__distraction_type,information_extraction__negation_distraction,100,100,1.000000,0,0.000000,none,100
task__distraction_type,information_extraction__style_distraction,100,87,0.870000,13,0.130000,none,87
task__distraction_type,multi_label_classification__clean,100,57,0.570000,43,0.430000,none,57
task__distraction_type,multi_label_classification__conflicting_instruction,100,43,0.430000,56,0.560000,none,43
task__distraction_type,multi_label_classification__instruction_in_the_middle,100,39,0.390000,59,0.590000,invalid_label,59
task__distraction_type,multi_label_classification__irrelevant_prefix,100,50,0.500000,50,0.500000,none,50
task__distraction_type,multi_label_classification__irrelevant_suffix,100,47,0.470000,51,0.510000,invalid_label,51
task__distraction_type,multi_label_classification__length_stress,100,41,0.410000,58,0.580000,invalid_label,58
task__distraction_type,multi_label_classification__negation_distraction,100,55,0.550000,44,0.440000,none,55
task__distraction_type,multi_label_classification__style_distraction,100,49,0.490000,51,0.510000,none,49
task__distraction_type,rule_based_transformation__clean,100,57,0.570000,0,0.000000,none,57
task__distraction_type,rule_based_transformation__conflicting_instruction,100,26,0.260000,30,0.300000,wrong_answer,44
task__distraction_type,rule_based_transformation__instruction_in_the_middle,100,42,0.420000,2,0.020000,wrong_answer,56
task__distraction_type,rule_based_transformation__irrelevant_prefix,100,55,0.550000,0,0.000000,none,55
task__distraction_type,rule_based_transformation__irrelevant_suffix,100,42,0.420000,0,0.000000,wrong_answer,58
task__distraction_type,rule_based_transformation__length_stress,100,57,0.570000,2,0.020000,none,57
task__distraction_type,rule_based_transformation__negation_distraction,100,51,0.510000,0,0.000000,none,51
task__distraction_type,rule_based_transformation__style_distraction,100,48,0.480000,7,0.070000,none,48
task__distraction_type,single_label_classification__clean,100,100,1.000000,0,0.000000,none,100
task__distraction_type,single_label_classification__conflicting_instruction,100,61,0.610000,39,0.390000,none,61
task__distraction_type,single_label_classification__instruction_in_the_middle,100,90,0.900000,10,0.100000,none,90
task__distraction_type,single_label_classification__irrelevant_prefix,100,97,0.970000,3,0.030000,none,97
task__distraction_type,single_label_classification__irrelevant_suffix,100,87,0.870000,13,0.130000,none,87
task__distraction_type,single_label_classification__length_stress,100,100,1.000000,0,0.000000,none,100
task__distraction_type,single_label_classification__negation_distraction,100,100,1.000000,0,0.000000,none,100
task__distraction_type,single_label_classification__style_distraction,100,99,0.990000,1,0.010000,none,99
